V x y Q
16 331 105 0
10 214 47 0
56 719 73 0
21 408 132 0
37 616 986 1
4 55 947 1
11 250 900 1
26 520 898 1
1 29 222 2
8 128 143 2
12 283 405 2
6 75 516 2
21 408 132 3
56 719 73 3
52 708 195 3
50 695 220 3
14 311 631 4
3 50 761 4
0 17 614 4
6 75 516 4
51 698 918 5
76 957 865 5
78 980 877 5
37 616 986 5
20 386 261 6
24 456 249 6
28 521 486 6
12 283 405 6
13 294 841 7
11 250 900 7
3 50 761 7
14 311 631 7
38 617 438 8
28 521 486 8
24 456 249 8
41 639 299 8
8 128 143 9
16 331 105 9
17 342 267 9
12 283 405 9
6 75 516 10
12 283 405 10
15 321 538 10
14 311 631 10
24 456 249 11
21 408 132 11
50 695 220 11
41 639 299 11
26 520 898 12
11 250 900 12
13 294 841 12
23 447 768 12
67 866 651 13
62 819 788 13
42 640 717 13
53 708 589 13
22 424 676 14
15 321 538 14
28 521 486 14
33 572 558 14
11 250 900 15
5 73 925 15
2 48 868 15
3 50 761 15
68 887 300 16
63 828 237 16
73 912 107 16
77 964 369 16
70 892 522 17
67 866 651 17
53 708 589 17
57 722 527 17
57 722 527 18
48 666 380 18
64 834 374 18
65 859 481 18
76 957 865 19
51 698 918 19
55 713 824 19
62 819 788 19
62 819 788 20
55 713 824 20
45 650 754 20
42 640 717 20
70 892 522 21
65 859 481 21
77 964 369 21
79 993 633 21
78 980 877 22
76 957 865 22
74 918 725 22
79 993 633 22
48 666 380 23
54 710 291 23
60 780 270 23
64 834 374 23
39 629 706 24
30 562 687 24
40 629 552 24
53 708 589 24
73 912 107 25
63 828 237 25
59 767 131 25
58 756 102 25
43 644 407 26
48 666 380 26
57 722 527 26
46 660 515 26
30 562 687 27
29 548 736 27
22 424 676 27
33 572 558 27
19 366 753 28
13 294 841 28
14 311 631 28
22 424 676 28
44 647 810 29
51 698 918 29
47 660 942 29
31 571 848 29
18 362 232 30
17 342 267 30
16 331 105 30
21 408 132 30
64 834 374 31
68 887 300 31
77 964 369 31
65 859 481 31
52 708 195 32
59 767 131 32
63 828 237 32
61 802 260 32
31 571 848 33
47 660 942 33
36 608 965 33
26 520 898 33
64 834 374 34
60 780 270 34
61 802 260 34
68 887 300 34
9 202 68 35
8 128 143 35
7 98 115 35
10 214 47 35
74 918 725 36
69 889 709 36
75 945 617 36
79 993 633 36
48 666 380 37
43 644 407 37
38 617 438 37
41 639 299 37
27 520 845 38
26 520 898 38
23 447 768 38
25 504 808 38
29 548 736 39
25 504 808 39
23 447 768 39
22 424 676 39
62 819 788 40
67 866 651 40
69 889 709 40
66 863 784 40
52 708 195 41
56 719 73 41
58 756 102 41
59 767 131 41
61 802 260 42
60 780 270 42
50 695 220 42
52 708 195 42
54 710 291 43
48 666 380 43
41 639 299 43
49 691 283 43
79 993 633 44
75 945 617 44
72 911 576 44
70 892 522 44
33 572 558 45
28 521 486 45
35 591 463 45
40 629 552 45
18 362 232 46
21 408 132 46
24 456 249 46
20 386 261 46
25 504 808 47
29 548 736 47
34 583 763 47
32 572 825 47
46 660 515 48
57 722 527 48
53 708 589 48
40 629 552 48
35 591 463 49
38 617 438 49
46 660 515 49
40 629 552 49
67 866 651 50
72 911 576 50
75 945 617 50
69 889 709 50
45 650 754 51
44 647 810 51
32 572 825 51
34 583 763 51
39 629 706 52
34 583 763 52
29 548 736 52
30 562 687 52
34 583 763 53
39 629 706 53
42 640 717 53
45 650 754 53
60 780 270 54
54 710 291 54
49 691 283 54
50 695 220 54
55 713 824 55
51 698 918 55
44 647 810 55
45 650 754 55
27 520 845 56
25 504 808 56
32 572 825 56
31 571 848 56
71 900 755 57
66 863 784 57
69 889 709 57
74 918 725 57
17 342 267 58
18 362 232 58
20 386 261 58
12 283 405 58
0 17 614 59
1 29 222 59
6 75 516 59
3 50 761 60
2 48 868 60
0 17 614 60
2 48 868 61
5 73 925 61
4 55 947 61
4 55 947 62
0 17 614 62
2 48 868 62
1 29 222 63
7 98 115 63
8 128 143 63
11 250 900 64
4 55 947 64
5 73 925 64
16 331 105 65
8 128 143 65
9 202 68 65
14 311 631 66
15 321 538 66
22 424 676 66
16 331 105 67
9 202 68 67
10 214 47 67
13 294 841 68
19 366 753 68
23 447 768 68
23 447 768 69
19 366 753 69
22 424 676 69
28 521 486 70
15 321 538 70
12 283 405 70
31 571 848 71
26 520 898 71
27 520 845 71
30 562 687 72
33 572 558 72
40 629 552 72
28 521 486 73
38 617 438 73
35 591 463 73
44 647 810 74
31 571 848 74
32 572 825 74
37 616 986 75
26 520 898 75
36 608 965 75
38 617 438 76
43 644 407 76
46 660 515 76
53 708 589 77
42 640 717 77
39 629 706 77
47 660 942 78
37 616 986 78
36 608 965 78
41 639 299 79
50 695 220 79
49 691 283 79
51 698 918 80
37 616 986 80
47 660 942 80
57 722 527 81
65 859 481 81
70 892 522 81
62 819 788 82
66 863 784 82
76 957 865 82
68 887 300 83
61 802 260 83
63 828 237 83
67 866 651 84
70 892 522 84
72 911 576 84
76 957 865 85
66 863 784 85
71 900 755 85
73 912 107 86
58 756 102 86
56 719 73 86
76 957 865 87
71 900 755 87
74 918 725 87
