V x y Q
10 361 335 0
8 342 263 0
9 360 111 0
11 373 209 0
20 443 241 1
16 411 387 1
17 416 270 1
19 443 185 1
5 320 359 2
0 265 344 2
4 315 160 2
6 324 297 2
26 534 262 3
24 497 355 3
22 488 234 3
25 510 166 3
17 416 270 4
13 380 169 4
9 360 111 4
18 421 137 4
16 411 387 5
15 400 306 5
14 396 231 5
17 416 270 5
21 454 315 6
20 443 241 6
19 443 185 6
22 488 234 6
24 497 355 7
16 411 387 7
21 454 315 7
23 489 285 7
22 488 234 8
19 443 185 8
18 421 137 8
25 510 166 8
15 400 306 9
10 361 335 9
12 378 265 9
14 396 231 9
8 342 263 10
7 326 237 10
4 315 160 10
9 360 111 10
10 361 335 11
5 320 359 11
6 324 297 11
8 342 263 11
14 396 231 12
12 378 265 12
11 373 209 12
13 380 169 12
3 297 204 13
2 277 294 13
0 265 344 13
1 267 248 13
4 315 160 14
3 297 204 14
1 267 248 14
4 315 160 15
2 277 294 15
3 297 204 15
4 315 160 16
0 265 344 16
2 277 294 16
7 326 237 17
6 324 297 17
4 315 160 17
8 342 263 18
6 324 297 18
7 326 237 18
12 378 265 19
10 361 335 19
11 373 209 19
13 380 169 20
11 373 209 20
9 360 111 20
16 411 387 21
10 361 335 21
15 400 306 21
16 411 387 22
5 320 359 22
10 361 335 22
16 411 387 23
0 265 344 23
5 320 359 23
17 416 270 24
14 396 231 24
13 380 169 24
19 443 185 25
17 416 270 25
18 421 137 25
21 454 315 26
16 411 387 26
20 443 241 26
23 489 285 27
21 454 315 27
22 488 234 27
24 497 355 28
23 489 285 28
22 488 234 28
25 510 166 29
18 421 137 29
9 360 111 29
