V x y Q
31 500 357 0
0 214 359 0
8 285 350 0
16 366 351 0
29 491 209 1
30 496 139 1
31 500 357 1
28 487 273 1
0 214 359 2
1 221 158 2
3 237 243 2
2 236 296 2
11 328 179 3
4 262 189 3
1 221 158 3
17 367 154 3
21 405 330 4
26 450 317 4
31 500 357 4
16 366 351 4
25 449 162 5
19 401 178 5
17 367 154 5
30 496 139 5
8 285 350 6
0 214 359 6
2 236 296 6
7 277 318 6
29 491 209 7
27 465 235 7
22 416 200 7
25 449 162 7
7 277 318 8
6 277 269 8
10 321 270 8
12 336 324 8
20 401 279 9
24 449 279 9
26 450 317 9
21 405 330 9
3 237 243 10
1 221 158 10
4 262 189 10
5 264 228 10
9 305 228 11
11 328 179 11
14 359 206 11
13 356 242 11
13 356 242 12
18 396 242 12
20 401 279 12
15 365 294 12
9 305 228 13
5 264 228 13
4 262 189 13
11 328 179 13
20 401 279 14
18 396 242 14
23 433 231 14
24 449 279 14
31 500 357 15
26 450 317 15
24 449 279 15
28 487 273 15
14 359 206 16
19 401 178 16
22 416 200 16
18 396 242 16
16 366 351 17
8 285 350 17
7 277 318 17
12 336 324 17
16 366 351 18
12 336 324 18
15 365 294 18
21 405 330 18
14 359 206 19
11 328 179 19
17 367 154 19
19 401 178 19
10 321 270 20
13 356 242 20
15 365 294 20
12 336 324 20
6 277 269 21
5 264 228 21
9 305 228 21
10 321 270 21
2 236 296 22
3 237 243 22
6 277 269 22
7 277 318 22
27 465 235 23
28 487 273 23
24 449 279 23
23 433 231 23
3 237 243 24
5 264 228 24
6 277 269 24
13 356 242 25
10 321 270 25
9 305 228 25
13 356 242 26
14 359 206 26
18 396 242 26
15 365 294 27
20 401 279 27
21 405 330 27
18 396 242 28
22 416 200 28
23 433 231 28
25 449 162 29
22 416 200 29
19 401 178 29
27 465 235 30
23 433 231 30
22 416 200 30
27 465 235 31
29 491 209 31
28 487 273 31
30 496 139 32
17 367 154 32
1 221 158 32
30 496 139 33
29 491 209 33
25 449 162 33
