V x y t
0 136 9796 0
1 180 1814 0
2 507 9025 0
3 905 9844 1
2 507 9025 1
1 180 1814 1
3 905 9844 2
0 136 9796 2
2 507 9025 2
4 963 6525 3
3 905 9844 3
1 180 1814 3
5 1160 9226 4
3 905 9844 4
4 963 6525 4
6 1275 804 5
4 963 6525 5
1 180 1814 5
6 1275 804 6
5 1160 9226 6
4 963 6525 6
7 1574 9998 7
5 1160 9226 7
6 1275 804 7
7 1574 9998 8
3 905 9844 8
5 1160 9226 8
7 1574 9998 9
0 136 9796 9
3 905 9844 9
8 1799 1278 10
7 1574 9998 10
6 1275 804 10
9 1918 6999 11
7 1574 9998 11
8 1799 1278 11
10 1994 8195 12
9 1918 6999 12
8 1799 1278 12
10 1994 8195 13
7 1574 9998 13
9 1918 6999 13
11 2255 2583 14
10 1994 8195 14
8 1799 1278 14
12 2597 7072 15
10 1994 8195 15
11 2255 2583 15
12 2597 7072 16
7 1574 9998 16
10 1994 8195 16
13 2609 5521 17
12 2597 7072 17
11 2255 2583 17
14 2864 4296 18
11 2255 2583 18
8 1799 1278 18
14 2864 4296 19
13 2609 5521 19
11 2255 2583 19
14 2864 4296 20
12 2597 7072 20
13 2609 5521 20
15 2889 3204 21
14 2864 4296 21
8 1799 1278 21
16 2904 2969 22
15 2889 3204 22
8 1799 1278 22
16 2904 2969 23
14 2864 4296 23
15 2889 3204 23
17 2949 7282 24
14 2864 4296 24
16 2904 2969 24
17 2949 7282 25
12 2597 7072 25
14 2864 4296 25
17 2949 7282 26
7 1574 9998 26
12 2597 7072 26
18 2975 8751 27
17 2949 7282 27
16 2904 2969 27
18 2975 8751 28
7 1574 9998 28
17 2949 7282 28
19 3071 4244 29
18 2975 8751 29
16 2904 2969 29
20 3152 9130 30
18 2975 8751 30
19 3071 4244 30
20 3152 9130 31
7 1574 9998 31
18 2975 8751 31
21 3773 6989 32
19 3071 4244 32
16 2904 2969 32
21 3773 6989 33
20 3152 9130 33
19 3071 4244 33
22 4116 2556 34
8 1799 1278 34
6 1275 804 34
22 4116 2556 35
16 2904 2969 35
8 1799 1278 35
22 4116 2556 36
21 3773 6989 36
16 2904 2969 36
23 4463 8645 37
21 3773 6989 37
22 4116 2556 37
23 4463 8645 38
20 3152 9130 38
21 3773 6989 38
23 4463 8645 39
7 1574 9998 39
20 3152 9130 39
24 4469 6200 40
23 4463 8645 40
22 4116 2556 40
25 4472 1417 41
22 4116 2556 41
6 1275 804 41
25 4472 1417 42
24 4469 6200 42
22 4116 2556 42
26 4610 9394 43
24 4469 6200 43
25 4472 1417 43
26 4610 9394 44
23 4463 8645 44
24 4469 6200 44
26 4610 9394 45
7 1574 9998 45
23 4463 8645 45
27 4671 1713 46
26 4610 9394 46
25 4472 1417 46
28 4689 2576 47
26 4610 9394 47
27 4671 1713 47
29 5355 9583 48
28 4689 2576 48
27 4671 1713 48
29 5355 9583 49
26 4610 9394 49
28 4689 2576 49
29 5355 9583 50
7 1574 9998 50
26 4610 9394 50
30 5586 6030 51
29 5355 9583 51
27 4671 1713 51
31 5962 2378 52
27 4671 1713 52
25 4472 1417 52
31 5962 2378 53
30 5586 6030 53
27 4671 1713 53
31 5962 2378 54
29 5355 9583 54
30 5586 6030 54
32 6201 4201 55
29 5355 9583 55
31 5962 2378 55
33 6260 3849 56
32 6201 4201 56
31 5962 2378 56
33 6260 3849 57
29 5355 9583 57
32 6201 4201 57
34 6303 5318 58
29 5355 9583 58
33 6260 3849 58
35 6371 5008 59
34 6303 5318 59
33 6260 3849 59
36 6583 6294 60
35 6371 5008 60
33 6260 3849 60
36 6583 6294 61
34 6303 5318 61
35 6371 5008 61
36 6583 6294 62
29 5355 9583 62
34 6303 5318 62
37 7357 6870 63
33 6260 3849 63
31 5962 2378 63
37 7357 6870 64
36 6583 6294 64
33 6260 3849 64
37 7357 6870 65
29 5355 9583 65
36 6583 6294 65
38 7470 1845 66
25 4472 1417 66
6 1275 804 66
38 7470 1845 67
31 5962 2378 67
25 4472 1417 67
38 7470 1845 68
37 7357 6870 68
31 5962 2378 68
39 7664 4993 69
37 7357 6870 69
38 7470 1845 69
40 7873 2588 70
39 7664 4993 70
38 7470 1845 70
41 8140 3613 71
39 7664 4993 71
40 7873 2588 71
41 8140 3613 72
37 7357 6870 72
39 7664 4993 72
42 8239 1554 73
38 7470 1845 73
6 1275 804 73
42 8239 1554 74
40 7873 2588 74
38 7470 1845 74
42 8239 1554 75
41 8140 3613 75
40 7873 2588 75
43 8471 8441 76
41 8140 3613 76
42 8239 1554 76
43 8471 8441 77
37 7357 6870 77
41 8140 3613 77
43 8471 8441 78
29 5355 9583 78
37 7357 6870 78
44 8624 774 79
42 8239 1554 79
6 1275 804 79
44 8624 774 80
43 8471 8441 80
42 8239 1554 80
45 8894 6418 81
43 8471 8441 81
44 8624 774 81
46 8938 499 82
44 8624 774 82
6 1275 804 82
46 8938 499 83
45 8894 6418 83
44 8624 774 83
47 9689 2843 84
45 8894 6418 84
46 8938 499 84
47 9689 2843 85
43 8471 8441 85
45 8894 6418 85
48 9827 71 86
46 8938 499 86
6 1275 804 86
48 9827 71 87
47 9689 2843 87
46 8938 499 87
49 9871 3735 88
47 9689 2843 88
48 9827 71 88
49 9871 3735 89
43 8471 8441 89
47 9689 2843 89
