V x y Q
11 250 900 0
5 73 925 0
9 202 68 0
10 214 47 0
8 128 143 1
5 73 925 1
6 75 516 1
7 98 115 1
57 722 527 2
55 713 824 2
54 710 291 2
56 719 73 2
59 767 131 3
55 713 824 3
57 722 527 3
58 756 102 3
53 708 589 4
51 698 918 4
50 695 220 4
52 708 195 4
51 698 918 5
47 660 942 5
49 691 283 5
50 695 220 5
5 73 925 6
3 50 761 6
1 29 222 6
6 75 516 6
26 520 898 7
25 504 808 7
24 456 249 7
27 520 845 7
3 50 761 8
2 48 868 8
0 17 614 8
1 29 222 8
23 447 768 9
22 424 676 9
21 408 132 9
24 456 249 9
22 424 676 10
19 366 753 10
20 386 261 10
21 408 132 10
74 918 725 11
72 911 576 11
73 912 107 11
75 945 617 11
19 366 753 12
13 294 841 12
15 321 538 12
18 362 232 12
62 819 788 13
55 713 824 13
60 780 270 13
61 802 260 13
49 691 283 14
47 660 942 14
46 660 515 14
48 666 380 14
37 616 986 15
4 55 947 15
26 520 898 15
36 608 965 15
64 834 374 16
62 819 788 16
61 802 260 16
63 828 237 16
39 629 706 17
37 616 986 17
35 591 463 17
38 617 438 17
52 708 195 18
50 695 220 18
10 214 47 18
56 719 73 18
78 980 877 19
76 957 865 19
77 964 369 19
79 993 633 19
15 321 538 20
12 283 405 20
10 214 47 20
16 331 105 20
36 608 965 21
34 583 763 21
35 591 463 21
37 616 986 21
13 294 841 22
11 250 900 22
10 214 47 22
12 283 405 22
69 889 709 23
66 863 784 23
67 866 651 23
68 887 300 23
71 900 755 24
70 892 522 24
68 887 300 24
72 911 576 24
42 640 717 25
39 629 706 25
41 639 299 25
43 644 407 25
29 548 736 26
26 520 898 26
27 520 845 26
28 521 486 26
44 647 810 27
42 640 717 27
43 644 407 27
45 650 754 27
35 591 463 28
24 456 249 28
21 408 132 28
38 617 438 28
76 957 865 29
37 616 986 29
66 863 784 29
71 900 755 29
33 572 558 30
28 521 486 30
24 456 249 30
35 591 463 30
49 691 283 31
41 639 299 31
21 408 132 31
50 695 220 31
66 863 784 32
62 819 788 32
64 834 374 32
65 859 481 32
55 713 824 33
53 708 589 33
52 708 195 33
54 710 291 33
26 520 898 34
11 250 900 34
23 447 768 34
25 504 808 34
44 647 810 35
37 616 986 35
39 629 706 35
42 640 717 35
34 583 763 36
32 572 825 36
30 562 687 36
33 572 558 36
65 859 481 37
64 834 374 37
63 828 237 37
68 887 300 37
47 660 942 38
45 650 754 38
43 644 407 38
46 660 515 38
68 887 300 39
63 828 237 39
58 756 102 39
73 912 107 39
46 660 515 40
43 644 407 40
41 639 299 40
48 666 380 40
31 571 848 41
26 520 898 41
29 548 736 41
30 562 687 41
21 408 132 42
16 331 105 42
10 214 47 42
50 695 220 42
30 562 687 43
29 548 736 43
28 521 486 43
33 572 558 43
26 520 898 44
4 55 947 44
5 73 925 44
11 250 900 44
23 447 768 45
11 250 900 45
13 294 841 45
19 366 753 45
4 55 947 46
2 48 868 46
3 50 761 46
5 73 925 46
66 863 784 47
51 698 918 47
55 713 824 47
62 819 788 47
20 386 261 48
18 362 232 48
16 331 105 48
21 408 132 48
61 802 260 49
60 780 270 49
59 767 131 49
63 828 237 49
9 202 68 50
8 128 143 50
7 98 115 50
10 214 47 50
36 608 965 51
31 571 848 51
32 572 825 51
34 583 763 51
4 55 947 52
0 17 614 52
2 48 868 52
7 98 115 53
6 75 516 53
1 29 222 53
9 202 68 54
5 73 925 54
8 128 143 54
14 311 631 55
13 294 841 55
12 283 405 55
15 321 538 56
14 311 631 56
12 283 405 56
15 321 538 57
13 294 841 57
14 311 631 57
17 342 267 58
15 321 538 58
16 331 105 58
18 362 232 59
17 342 267 59
16 331 105 59
18 362 232 60
15 321 538 60
17 342 267 60
20 386 261 61
19 366 753 61
18 362 232 61
23 447 768 62
19 366 753 62
22 424 676 62
25 504 808 63
23 447 768 63
24 456 249 63
28 521 486 64
27 520 845 64
24 456 249 64
32 572 825 65
31 571 848 65
30 562 687 65
35 591 463 66
34 583 763 66
33 572 558 66
36 608 965 67
26 520 898 67
31 571 848 67
40 629 552 68
39 629 706 68
38 617 438 68
41 639 299 69
38 617 438 69
21 408 132 69
41 639 299 70
40 629 552 70
38 617 438 70
41 639 299 71
39 629 706 71
40 629 552 71
47 660 942 72
44 647 810 72
45 650 754 72
47 660 942 73
37 616 986 73
44 647 810 73
49 691 283 74
48 666 380 74
41 639 299 74
51 698 918 75
37 616 986 75
47 660 942 75
55 713 824 76
51 698 918 76
53 708 589 76
56 719 73 77
54 710 291 77
52 708 195 77
58 756 102 78
57 722 527 78
56 719 73 78
60 780 270 79
55 713 824 79
59 767 131 79
63 828 237 80
59 767 131 80
58 756 102 80
66 863 784 81
37 616 986 81
51 698 918 81
67 866 651 82
66 863 784 82
65 859 481 82
68 887 300 83
67 866 651 83
65 859 481 83
70 892 522 84
69 889 709 84
68 887 300 84
71 900 755 85
69 889 709 85
70 892 522 85
71 900 755 86
66 863 784 86
69 889 709 86
73 912 107 87
58 756 102 87
56 719 73 87
73 912 107 88
72 911 576 88
68 887 300 88
74 918 725 89
71 900 755 89
72 911 576 89
76 957 865 90
74 918 725 90
75 945 617 90
76 957 865 91
71 900 755 91
74 918 725 91
77 964 369 92
75 945 617 92
73 912 107 92
77 964 369 93
76 957 865 93
75 945 617 93
78 980 877 94
37 616 986 94
76 957 865 94
