V x y Q
67 969 38 0
69 983 516 0
63 892 396 0
60 849 313 0
51 736 98 1
43 573 403 1
36 439 337 1
38 476 61 1
29 365 145 2
13 225 200 2
4 78 47 2
38 476 61 2
39 511 901 3
49 707 900 3
57 796 977 3
19 278 943 3
10 156 440 4
15 238 503 4
3 48 711 4
0 16 339 4
60 849 313 5
52 766 374 5
43 573 403 5
51 736 98 5
62 869 695 6
66 949 658 6
68 981 918 6
54 774 872 6
3 48 711 7
15 238 503 7
18 270 600 7
12 218 714 7
44 576 765 8
48 688 621 8
56 794 725 8
50 735 835 8
27 347 551 9
40 539 522 9
41 550 611 9
35 417 706 9
51 736 98 10
38 476 61 10
65 930 14 10
64 928 51 10
11 164 224 11
1 17 178 11
4 78 47 11
13 225 200 11
22 297 303 12
23 303 395 12
10 156 440 12
6 114 307 12
6 114 307 13
14 237 205 13
20 288 216 13
22 297 303 13
42 552 742 14
45 576 810 14
33 408 866 14
30 375 790 14
42 552 742 15
41 550 611 15
48 688 621 15
44 576 765 15
18 270 600 16
27 347 551 16
35 417 706 16
25 327 762 16
48 688 621 17
46 606 465 17
47 664 443 17
53 773 496 17
40 539 522 18
46 606 465 18
48 688 621 18
41 550 611 18
31 378 207 19
29 365 145 19
38 476 61 19
36 439 337 19
61 866 561 20
59 823 442 20
63 892 396 20
69 983 516 20
43 573 403 21
40 539 522 21
34 409 421 21
37 453 366 21
50 735 835 22
49 707 900 22
45 576 810 22
44 576 765 22
19 278 943 23
7 131 969 23
8 142 835 23
17 258 884 23
9 146 826 24
2 25 775 24
3 48 711 24
12 218 714 24
39 511 901 25
19 278 943 25
26 344 853 25
33 408 866 25
1 17 178 26
11 164 224 26
5 79 313 26
0 16 339 26
5 79 313 27
6 114 307 27
10 156 440 27
0 16 339 27
54 774 872 28
50 735 835 28
56 794 725 28
62 869 695 28
27 347 551 29
24 311 498 29
34 409 421 29
40 539 522 29
35 417 706 30
41 550 611 30
42 552 742 30
30 375 790 30
66 949 658 31
62 869 695 31
55 793 618 31
61 866 561 31
58 816 437 32
52 766 374 32
60 849 313 32
63 892 396 32
9 146 826 33
16 247 774 33
17 258 884 33
8 142 835 33
15 238 503 34
10 156 440 34
23 303 395 34
24 311 498 34
22 297 303 35
20 288 216 35
31 378 207 35
32 386 324 35
16 247 774 36
25 327 762 36
26 344 853 36
17 258 884 36
61 866 561 37
55 793 618 37
48 688 621 37
53 773 496 37
58 816 437 38
53 773 496 38
47 664 443 38
52 766 374 38
12 218 714 39
18 270 600 39
25 327 762 39
16 247 774 39
49 707 900 40
39 511 901 40
33 408 866 40
45 576 810 40
18 270 600 41
15 238 503 41
24 311 498 41
27 347 551 41
23 303 395 42
22 297 303 42
32 386 324 42
34 409 421 42
57 796 977 43
49 707 900 43
54 774 872 43
68 981 918 43
62 869 695 44
56 794 725 44
48 688 621 44
55 793 618 44
52 766 374 45
47 664 443 45
46 606 465 45
43 573 403 45
11 164 224 46
14 237 205 46
6 114 307 46
5 79 313 46
34 409 421 47
32 386 324 47
36 439 337 47
37 453 366 47
29 365 145 48
13 225 200 48
28 363 151 48
21 292 196 48
31 378 207 49
20 288 216 49
21 292 196 49
28 363 151 49
53 773 496 50
58 816 437 50
59 823 442 50
61 866 561 50
33 408 866 51
26 344 853 51
25 327 762 51
30 375 790 51
14 237 205 52
13 225 200 52
21 292 196 52
20 288 216 52
3 48 711 53
2 25 775 53
0 16 339 53
2 25 775 54
9 146 826 54
8 142 835 54
2 25 775 55
8 142 835 55
7 131 969 55
14 237 205 56
11 164 224 56
13 225 200 56
9 146 826 57
12 218 714 57
16 247 774 57
26 344 853 58
19 278 943 58
17 258 884 58
24 311 498 59
23 303 395 59
34 409 421 59
31 378 207 60
28 363 151 60
29 365 145 60
35 417 706 61
30 375 790 61
25 327 762 61
36 439 337 62
32 386 324 62
31 378 207 62
43 573 403 63
37 453 366 63
36 439 337 63
40 539 522 64
43 573 403 64
46 606 465 64
42 552 742 65
44 576 765 65
45 576 810 65
54 774 872 66
49 707 900 66
50 735 835 66
57 796 977 67
7 131 969 67
19 278 943 67
63 892 396 68
59 823 442 68
58 816 437 68
64 928 51 69
60 849 313 69
51 736 98 69
60 849 313 70
64 928 51 70
67 969 38 70
65 930 14 71
38 476 61 71
4 78 47 71
67 969 38 72
64 928 51 72
65 930 14 72
66 949 658 73
69 983 516 73
68 981 918 73
69 983 516 74
66 949 658 74
61 866 561 74
