V x y Q
41 674 229 0
38 587 972 0
39 605 421 0
40 673 20 0
43 713 957 1
42 679 418 1
40 673 20 1
44 718 357 1
31 541 992 2
29 526 965 2
30 532 95 2
32 544 284 2
57 927 867 3
56 921 663 3
55 905 11 3
58 942 259 3
48 802 339 4
43 713 957 4
46 726 508 4
47 789 143 4
11 276 881 5
10 255 689 5
5 194 131 5
12 294 237 5
46 726 508 6
43 713 957 6
44 718 357 6
45 721 229 6
15 399 922 7
14 322 476 7
12 294 237 7
16 402 706 7
51 830 837 8
50 813 767 8
49 808 151 8
52 849 160 8
54 892 620 9
51 830 837 9
52 849 160 9
53 852 180 9
7 200 782 10
6 194 603 10
5 194 131 10
8 200 249 10
34 552 765 11
31 541 992 11
32 544 284 11
33 545 342 11
20 438 924 12
19 436 836 12
18 434 276 12
21 442 555 12
24 501 416 13
22 476 851 13
18 434 276 13
23 477 205 13
13 295 851 14
11 276 881 14
12 294 237 14
14 322 476 14
56 921 663 15
54 892 620 15
53 852 180 15
55 905 11 15
19 436 836 16
17 410 862 16
16 402 706 16
18 434 276 16
6 194 603 17
4 176 708 17
2 126 403 17
5 194 131 17
3 159 970 18
1 98 919 18
2 126 403 18
4 176 708 18
31 541 992 19
0 43 982 19
3 159 970 19
29 526 965 19
37 584 574 20
35 553 365 20
30 532 95 20
39 605 421 20
29 526 965 21
22 476 851 21
24 501 416 21
27 518 438 21
36 572 707 22
34 552 765 22
33 545 342 22
35 553 365 22
38 587 972 23
36 572 707 23
37 584 574 23
39 605 421 23
26 512 168 24
24 501 416 24
23 477 205 24
25 504 28 24
7 200 782 25
3 159 970 25
4 176 708 25
6 194 603 25
28 526 344 26
26 512 168 26
25 504 28 26
30 532 95 26
11 276 881 27
3 159 970 27
7 200 782 27
10 255 689 27
23 477 205 28
18 434 276 28
5 194 131 28
25 504 28 28
38 587 972 29
31 541 992 29
34 552 765 29
36 572 707 29
29 526 965 30
3 159 970 30
15 399 922 30
20 438 924 30
27 518 438 31
24 501 416 31
26 512 168 31
28 526 344 31
52 849 160 32
49 808 151 32
40 673 20 32
55 905 11 32
57 927 867 33
51 830 837 33
54 892 620 33
56 921 663 33
20 438 924 34
15 399 922 34
17 410 862 34
19 436 836 34
0 43 982 35
2 126 403 35
1 98 919 35
3 159 970 36
0 43 982 36
1 98 919 36
10 255 689 37
8 200 249 37
5 194 131 37
10 255 689 38
7 200 782 38
8 200 249 38
15 399 922 39
13 295 851 39
14 322 476 39
15 399 922 40
11 276 881 40
13 295 851 40
15 399 922 41
3 159 970 41
11 276 881 41
17 410 862 42
15 399 922 42
16 402 706 42
18 434 276 43
12 294 237 43
5 194 131 43
18 434 276 44
16 402 706 44
12 294 237 44
22 476 851 45
21 442 555 45
18 434 276 45
22 476 851 46
20 438 924 46
21 442 555 46
29 526 965 47
27 518 438 47
28 526 344 47
29 526 965 48
20 438 924 48
22 476 851 48
30 532 95 49
29 526 965 49
28 526 344 49
35 553 365 50
32 544 284 50
30 532 95 50
35 553 365 51
33 545 342 51
32 544 284 51
37 584 574 52
36 572 707 52
35 553 365 52
40 673 20 53
30 532 95 53
25 504 28 53
40 673 20 54
39 605 421 54
30 532 95 54
42 679 418 55
41 674 229 55
40 673 20 55
42 679 418 56
38 587 972 56
41 674 229 56
43 713 957 57
38 587 972 57
42 679 418 57
43 713 957 58
31 541 992 58
38 587 972 58
45 721 229 59
44 718 357 59
40 673 20 59
47 789 143 60
45 721 229 60
40 673 20 60
47 789 143 61
46 726 508 61
45 721 229 61
49 808 151 62
47 789 143 62
40 673 20 62
49 808 151 63
48 802 339 63
47 789 143 63
50 813 767 64
48 802 339 64
49 808 151 64
50 813 767 65
43 713 957 65
48 802 339 65
51 830 837 66
43 713 957 66
50 813 767 66
55 905 11 67
53 852 180 67
52 849 160 67
57 927 867 68
43 713 957 68
51 830 837 68
59 971 274 69
58 942 259 69
55 905 11 69
59 971 274 70
57 927 867 70
58 942 259 70
