V x y Q
0 16.0 339.0 0
70 16.5 258.5 0
71 19.33 430.67 0
72 20.5 557.0 0
70 16.5 258.5 1
1 17.0 178.0 1
73 21.0 476.5 1
71 19.33 430.67 1
73 21.0 476.5 2
2 25.0 775.0 2
72 20.5 557.0 2
71 19.33 430.67 2
3 48.0 711.0 3
74 36.5 743.0 3
75 30.0 554.67 3
76 32.5 444.5 3
74 36.5 743.0 4
2 25.0 775.0 4
73 21.0 476.5 4
75 30.0 554.67 4
73 21.0 476.5 5
1 17.0 178.0 5
76 32.5 444.5 5
75 30.0 554.67 5
4 78.0 47.0 6
77 63.0 379.0 6
78 47.67 312.0 6
79 47.5 112.5 6
77 63.0 379.0 7
3 48.0 711.0 7
76 32.5 444.5 7
78 47.67 312.0 7
76 32.5 444.5 8
1 17.0 178.0 8
79 47.5 112.5 8
78 47.67 312.0 8
5 79.0 313.0 9
80 63.5 512.0 9
81 68.33 357.0 9
82 78.5 180.0 9
80 63.5 512.0 10
3 48.0 711.0 10
77 63.0 379.0 10
81 68.33 357.0 10
77 63.0 379.0 11
4 78.0 47.0 11
82 78.5 180.0 11
81 68.33 357.0 11
6 114.0 307.0 12
83 96.5 310.0 12
84 90.33 222.33 12
85 96.0 177.0 12
83 96.5 310.0 13
5 79.0 313.0 13
82 78.5 180.0 13
84 90.33 222.33 13
82 78.5 180.0 14
4 78.0 47.0 14
85 96.0 177.0 14
84 90.33 222.33 14
6 114.0 307.0 15
86 81.0 509.0 15
87 80.33 443.67 15
83 96.5 310.0 15
86 81.0 509.0 16
3 48.0 711.0 16
80 63.5 512.0 16
87 80.33 443.67 16
80 63.5 512.0 17
5 79.0 313.0 17
83 96.5 310.0 17
87 80.33 443.67 17
7 131.0 969.0 18
88 89.5 840.0 18
89 97.67 662.33 18
90 122.5 638.0 18
88 89.5 840.0 19
3 48.0 711.0 19
86 81.0 509.0 19
89 97.67 662.33 19
86 81.0 509.0 20
6 114.0 307.0 20
90 122.5 638.0 20
89 97.67 662.33 20
7 131.0 969.0 21
91 78.0 872.0 21
92 68.0 818.33 21
88 89.5 840.0 21
91 78.0 872.0 22
2 25.0 775.0 22
74 36.5 743.0 22
92 68.0 818.33 22
74 36.5 743.0 23
3 48.0 711.0 23
88 89.5 840.0 23
92 68.0 818.33 23
8 142.0 835.0 24
93 136.5 902.0 24
94 129.0 703.67 24
95 128.0 571.0 24
93 136.5 902.0 25
7 131.0 969.0 25
90 122.5 638.0 25
94 129.0 703.67 25
90 122.5 638.0 26
6 114.0 307.0 26
95 128.0 571.0 26
94 129.0 703.67 26
9 146.0 826.0 27
96 144.0 830.5 27
97 134.0 656.0 27
98 130.0 566.5 27
96 144.0 830.5 28
8 142.0 835.0 28
95 128.0 571.0 28
97 134.0 656.0 28
95 128.0 571.0 29
6 114.0 307.0 29
98 130.0 566.5 29
97 134.0 656.0 29
9 146.0 826.0 30
99 138.5 897.5 30
100 139.67 876.67 30
96 144.0 830.5 30
99 138.5 897.5 31
7 131.0 969.0 31
93 136.5 902.0 31
100 139.67 876.67 31
93 136.5 902.0 32
8 142.0 835.0 32
96 144.0 830.5 32
100 139.67 876.67 32
10 156.0 440.0 33
101 135.0 373.5 33
102 116.0 264.67 33
103 117.0 243.5 33
101 135.0 373.5 34
6 114.0 307.0 34
85 96.0 177.0 34
102 116.0 264.67 34
85 96.0 177.0 35
4 78.0 47.0 35
103 117.0 243.5 35
102 116.0 264.67 35
10 156.0 440.0 36
104 151.0 633.0 36
