Distance V0 V1 t0 t1
434.00460827046527 8 7 8 11
405.5712021334848 24 20 39 40
380.0473654690952 20 19 30 32
361.3654659759286 19 15 29 30
350.7506236630236 23 20 36 39
337.00445100918176 9 7 11 12
321.00623046912966 8 6 8 9
312.08332220738737 25 20 40 42
306.0669861321211 26 20 42 45
288.5012998237616 18 16 27 28
279.15766154630256 19 16 28 29
275.3942628305826 11 9 14 15
272.0900586203031 34 30 57 58
264.59402865522117 3 2 1 3
247.29132617218903 22 20 34 36
244.13111231467406 10 9 12 14
235.2126697267815 31 30 51 52
235.17227727774377 21 19 32 33
217.5890622251036 4 3 3 4
216.02083232873628 33 30 54 57
214.895323355349 28 20 45 48
203.08865059377396 32 30 52 54
195.06409203131162 12 11 15 17
191.8567173700207 14 8 19 20
191.83847372203522 35 30 58 61
190.68298298484842 12 8 16 19
186.13167382259257 17 16 24 27
170.84495895401773 37 30 61 63
170.49633427144408 28 27 44 46
170.14405661086136 8 5 9 10
163.44112089679268 16 13 21 24
151.08275877809487 6 5 6 9
145.03103116229988 21 20 32 34
142.03168660548954 14 13 18 21
140.05713120009278 13 12 17 18
134.21251804507656 22 19 33 35
131.13733259449805 5 4 4 6
125.13193037750197 29 27 46 50
125.02799686470226 30 29 47 51
120.61923561356208 28 26 44 45
116.82465493208188 31 24 49 55
116.21101496846158 26 24 41 43
114.00438588054409 31 29 50 51
113.0 7 6 7 8
110.25878649794764 15 8 20 31
104.5609869884557 23 22 35 36
103.00485425454472 15 14 20 22
102.48902380255164 18 17 26 27
102.39628899525607 22 21 33 34
100.89598604503551 9 8 11 16
99.24716620639603 11 7 13 25
98.84331034521254 38 36 62 65
98.32598842625484 25 24 40 41
98.08159868191383 10 7 12 13
93.23089616645332 12 9 15 16
91.67878707749138 35 34 58 59
90.78546139112804 4 0 2 5
88.76936408468859 5 3 4 10
85.9069263796581 24 19 37 38
85.44588931013593 6 0 5 7
82.38931969618392 16 15 22 29
81.27115109311545 30 28 47 48
79.6994353806851 36 34 59 64
79.64923100695951 18 11 25 26
73.8173421358423 27 24 43 49
66.12866246946174 20 15 30 31
65.19202405202648 24 23 38 39
64.35060217278468 4 2 2 3
58.249463516842795 38 37 62 63
56.089214649520635 34 33 56 57
55.731499172371095 13 11 17 23
53.36665625650534 27 26 43 44
51.40038910358559 23 19 35 38
50.44799302251776 31 27 49 50
49.57822102496216 34 31 55 56
49.09175083453431 11 10 13 14
48.05205510693585 29 28 46 47
42.5205832509386 17 11 23 26
40.607881008493905 37 36 60 62
34.785054261852174 32 31 52 53
34.058772731852805 33 31 53 56
33.61547262794323 19 18 28 37
32.38826948140329 39 36 64 65
29.832867780352593 17 13 23 24
28.460498941515414 37 35 60 61
26.92582403567252 26 25 41 42
26.92582403567252 0 2 0 2
22.847319317591726 16 14 21 22
22.825424421026653 6 4 5 6
18.788294228055936 2 1 0 1
18.60107523773827 33 32 53 54
13.152946437965904 36 35 59 60
7.280109889280519 14 12 18 19
