Distance V0 V1 t0 t1
224.0022321317357 10 9 12 14
204.51894777746145 19 16 30 31
199.0628041598932 5 4 5 6
190.67249408344145 4 0 4 5
189.4465623863363 25 24 42 43
168.5734261382855 17 9 25 28
156.7194946393077 16 14 21 27
153.06207890917986 9 8 11 12
149.46571513226706 20 16 31 33
139.2838827718412 4 2 3 4
137.29530217745983 6 4 6 7
133.09395177843356 18 17 28 29
130.4645545732633 21 19 32 35
128.40560735419615 23 16 37 39
126.5701386583739 11 10 14 15
121.33424908079333 24 22 38 42
117.88977903109327 22 18 34 41
117.10678887237921 17 16 27 30
109.73149046650191 14 10 19 20
107.2240644631605 17 13 25 26
106.48004507887852 8 4 8 11
98.85848471426213 11 9 14 16
98.48857801796103 8 5 10 13
96.02083107326243 13 12 17 18
95.2102935611481 16 5 23 24
93.6055553906925 25 18 40 41
92.19544457292888 3 2 1 3
89.1852005660132 19 17 29 30
87.84645695758024 22 21 35 36
83.86298349093002 21 16 33 37
81.74350127074324 16 15 21 22
77.78174593052023 7 4 7 8
75.10659092250161 15 14 20 21
74.81310045707235 21 20 32 33
74.46475676452586 10 8 12 13
72.13875518748574 16 10 22 23
72.03471385380801 12 10 15 19
71.47027354082255 25 22 41 42
70.45565981523414 24 23 38 39
66.52818951391959 22 19 34 35
66.30987860040162 18 9 28 40
64.03124237432849 14 13 18 26
62.12889826803627 6 5 6 10
61.351446600711874 13 9 16 25
60.03332407921454 7 6 7 9
57.00877125495689 5 0 5 24
56.222771187482394 12 11 15 17
56.0 20 19 31 32
53.254107822777385 3 1 1 2
52.80151512977635 19 18 29 34
51.419840528729765 0 2 0 4
51.0098029794274 23 22 36 38
48.60041152089147 15 10 20 22
47.53945729601885 4 3 2 3
47.50789408087881 10 5 13 23
47.07440918375928 1 2 0 1
46.09772228646443 23 21 36 37
43.82921400162225 17 14 26 27
40.607881008493905 13 11 16 17
38.47076812334269 8 6 9 10
38.47076812334269 14 12 18 19
30.528675044947498 8 7 8 9
