Distance V0 V1 t0 t1
880.0818143786405 68 67 125 127
850.0094117125999 64 4 115 120
840.7288504625019 39 38 67 70
747.1311799142102 21 19 34 35
737.0006784257392 51 50 92 93
727.0687725380592 20 19 32 34
708.3113722085789 29 26 49 50
702.2570754360543 28 26 47 49
679.3246646486494 17 14 25 27
666.1118524692381 60 57 110 111
664.6773653435176 4 3 2 3
662.2182419716328 7 6 6 8
659.0546259605496 26 21 41 44
646.6969924160774 64 62 119 122
645.0775147220681 30 29 50 51
644.2802185384867 66 65 121 124
640.2819691354739 22 19 35 37
620.3224967708329 67 66 124 125
607.3631533110978 66 64 121 122
602.269042870377 11 9 14 15
597.053598933965 1 2 0 1
583.0077186453022 31 30 51 52
580.1180914262198 49 7 88 103
569.0878666778972 16 14 22 25
548.5699590754127 23 19 37 39
542.4463107073362 33 32 53 57
540.3702434442519 58 57 106 108
538.1347414913853 39 37 67 68
535.680875148628 59 57 108 110
533.9007398384086 3 1 1 2
529.9075391047008 36 33 62 64
528.7419030112897 8 6 8 9
523.114710173591 55 51 97 104
519.9855767230472 9 6 9 12
514.0476631597502 13 12 18 20
509.35449345225175 14 12 20 21
502.0209158989295 37 33 64 68
492.966530304036 12 11 15 18
466.12981024603 32 30 52 53
465.2848589842571 40 38 70 73
462.0411237108662 52 50 93 94
452.1106059362023 64 38 115 116
446.2219178839157 24 19 39 40
445.0011235940871 34 33 57 58
431.1496260000697 49 19 87 88
425.7557985512352 47 38 82 91
424.40075400498523 46 38 79 82
421.84831397079205 61 57 111 112
409.35559114295734 6 3 5 6
400.665696060943 10 4 11 13
400.3198721022978 28 27 46 47
399.2054608844924 5 3 3 5
398.3779612378175 50 47 89 92
398.24615503479754 38 4 65 115
396.3760840414063 18 14 27 31
386.12951195162486 10 9 12 14
384.42164351139235 20 18 31 32
380.0328933131973 40 39 70 71
377.4029676618879 47 45 83 84
376.00132978488256 54 53 95 99
369.655244788979 36 35 61 62
362.012430725797 44 43 76 80
359.23529893372114 27 21 44 46
356.5305036038291 26 24 41 42
355.48980294798895 43 38 73 79
354.8309456628607 59 51 107 109
353.7937252128703 66 57 123 126
352.432972350772 51 47 91 92
348.31164206784706 58 51 104 107
346.87317567087837 64 63 118 119
346.3018914184559 46 45 81 83
343.09328177625395 19 18 28 32
341.1231449198369 53 50 94 95
339.6498196672567 43 42 75 76
305.86598372489874 38 37 66 67
303.382596732245 28 4 45 48
303.2705063140826 29 4 48 65
302.59709185648165 24 21 38 41
302.0149002946709 27 26 44 47
301.4962686336267 46 44 80 81
299.88331063932185 63 62 114 119
298.00167784762556 15 14 21 22
292.6106628269038 41 39 71 72
291.2953827303138 62 57 112 123
288.8390555309306 58 56 105 106
285.112258592997 35 34 58 61
284.25340807103794 18 17 27 28
279.6462050520264 49 48 85 90
277.6256472302226 52 51 93 97
273.6512378923216 64 60 117 118
271.14940531006147 16 15 22 23
271.02213931706757 7 3 6 7
269.5570440556136 20 4 30 33
269.4327374318125 12 7 16 24
266.0018796926067 5 4 3 4
264.4844040770646 25 24 40 42
262.6194966105906 51 38 91 116
262.4804754643667 6 4 4 11
261.96182928052707 68 66 125 126
260.7623439072444 21 4 33 45
254.70963860835735 55 54 99 100
252.00793638296392 57 56 101 106
248.58197842965205 61 60 111 113
245.48930730278258 55 52 97 98
242.886804911259 60 51 109 117
237.87601812709073 37 29 63 66
236.75514777930383 39 19 69 87
226.8942484947558 16 7 24 26
224.1539649437413 14 4 19 30
219.692967570653 48 45 84 85
219.10043359153812 50 48 89 90
216.23366990364843 34 31 56 60
216.14809737770074 11 10 13 14
212.17445652104308 13 4 17 19
211.94574777522666 15 12 21 23
209.267771049438 43 41 74 75
205.7668583615933 36 29 59 63
199.3037882229036 23 21 36 38
197.66891510806647 64 51 116 117
196.78668654154427 11 4 13 17
196.0025510038071 49 39 86 87
187.51533270642167 25 19 40 43
182.45547402037573 58 55 104 105
179.61069010501572 48 47 84 89
167.0359242797788 63 61 113 114
164.20109622045769 42 39 72 77
160.2529250903084 35 33 58 62
158.93709447451215 49 45 85 86
152.82015573869828 17 7 26 29
151.09268678529747 33 19 55 69
150.73486657041232 44 39 77 78
149.28161306738346 19 7 29 88
148.35430563350698 56 54 100 101
143.78456106272327 9 7 10 16
143.60013927569847 36 31 59 60
139.47401191619892 10 6 11 12
139.20129309744217 38 29 65 66
134.45073447177595 8 7 8 10
134.03357788255897 62 61 112 114
133.1465358167459 12 9 15 16
131.59407281484982 60 59 109 110
131.01526628603247 42 41 72 75
123.76186811776881 43 40 73 74
123.62847568420474 55 53 98 99
122.20065466273084 53 52 94 98
