Distance V0 V1 t0 t1
197.00253805471644 17 16 29 30
155.00322577288512 26 25 43 46
152.21038072352357 16 0 25 57
152.0526224699857 21 19 34 36
146.05478424207814 17 1 26 50
145.2205219657332 12 11 17 19
140.21768789992223 5 0 5 7
140.01428498549708 17 15 28 29
138.8128236151113 1 2 0 1
134.30189872075525 30 28 53 54
134.13426109685773 31 16 56 57
130.4645545732633 22 21 36 37
129.86916493148016 30 17 50 51
123.62847568420474 9 8 12 13
117.3243367763057 28 25 47 49
117.0 25 24 42 43
113.05308487608819 18 16 30 33
110.1135777277262 4 2 3 4
109.85900054160332 6 0 7 8
109.04127658827184 11 1 14 26
102.88342918079667 23 21 37 38
101.0 20 19 32 34
92.65527507918803 18 17 30 31
91.26883367283709 11 10 16 17
90.62008607367353 26 16 45 56
88.20430828479978 15 14 21 28
87.72684879784524 10 8 13 18
86.49277426467485 3 1 1 2
85.0 31 28 54 55
84.40379138403678 13 12 19 22
83.36066218546972 27 26 46 48
82.38931969618392 25 17 39 51
81.39410298049853 8 6 9 12
81.39410298049853 6 4 6 11
81.00617260431454 16 8 24 25
80.05623023850174 20 16 33 35
75.16648189186454 7 0 8 10
74.73285756613353 27 25 46 47
73.53910524340095 5 2 4 5
71.56814934033156 8 0 10 25
70.83078426785913 25 23 41 42
70.178344238091 30 29 52 53
68.94200461257273 13 11 19 20
67.35725647619564 24 21 38 44
66.75327707311455 11 4 14 15
66.73080248281148 0 2 0 5
64.19501538281614 19 18 31 32
64.1248781675256 29 28 49 53
64.03124237432849 31 26 55 56
63.03173803727769 29 25 49 52
59.50630218724736 4 3 2 3
58.05170109479997 9 4 11 15
57.48912940721924 28 26 48 55
57.245087125446844 12 8 18 24
57.008771254956905 16 15 23 29
56.04462507680822 12 10 17 18
54.12947441089744 11 9 15 16
53.009433122794285 3 2 1 3
52.77309920783504 15 13 21 22
52.611785751863614 17 14 27 28
52.32590180780451 30 25 51 52
51.40038910358559 4 1 2 14
51.15662224971466 21 20 34 35
50.59644256269407 25 19 39 40
50.59644256269407 24 23 38 42
50.32891812864648 25 22 40 41
49.648766349225646 9 6 11 12
49.0 7 6 8 9
46.84015371452148 26 21 44 45
46.32493928760187 17 11 26 27
44.944410108488455 10 9 13 16
44.294469180700204 21 16 35 45
43.9089968002003 28 27 47 48
43.01162633521314 6 5 6 7
41.725292090050125 15 12 22 23
41.617304093369626 19 17 31 39
41.10960958218894 14 11 20 27
40.36087214122114 16 12 23 24
39.05124837953328 5 4 4 6
38.01315561749642 26 24 43 44
37.33630940518894 20 18 32 33
36.124783736376884 14 13 20 21
35.35533905932738 23 22 37 41
32.984845004941285 8 7 9 10
26.627053911388693 22 19 36 40
