Distance V0 V1 t0 t1
447.50083798804224 58 24 103 118
398.9837089406032 0 3 0 1
379.10684509779037 1 3 0 3
350.2013706426633 63 57 107 116
306.1927497508718 58 37 103 104
303.7795253140014 87 89 162 163
299.7232056414718 45 22 80 114
294.441844852256 89 85 159 164
288.0433995077825 3 2 1 4
287.1271495348359 62 45 113 114
279.86067962470185 60 77 109 144
269.4327374318125 59 45 108 113
262.6194966105906 57 77 109 116
250.44959572736386 46 59 88 108
247.96975622039074 50 59 88 115
246.07722365143832 52 61 101 105
237.74145620820948 63 50 95 115
236.78260071213003 19 13 20 29
235.33168082517065 5 3 4 18
234.68276459936294 53 63 95 97
233.8482413874434 15 5 18 19
231.1406498217049 5 19 19 20
230.46257830719503 63 54 97 100
223.21514285549716 87 77 144 145
222.74873737015886 18 29 24 30
221.00904958847272 8 29 24 40
219.5449840010015 24 29 30 50
219.036526634258 87 86 145 163
218.04815981796315 1 8 3 23
201.64572894063488 29 37 50 63
200.24235316236172 52 55 85 101
200.06249023742555 36 47 62 86
198.04039991880444 57 51 96 102
196.82479518597242 77 63 116 124
193.3520105920805 36 51 72 86
193.01813386311662 23 26 33 54
192.37463450257678 57 56 102 107
191.00261778310787 17 26 33 43
190.76687343456672 19 25 29 44
190.68560512005092 35 22 61 80
190.24457942343588 63 56 100 107
187.8430195668713 81 89 151 159
187.7471704180918 3 8 3 8
187.25917868024518 13 25 29 41
186.2713075060139 58 61 105 119
184.70787747142782 58 52 104 105
183.09833423600554 22 17 34 43
179.7247896090019 31 39 52 73
176.64653973401235 25 39 52 59
176.02556632489498 52 37 91 104
175.14565367145138 30 28 49 51
175.0 31 47 62 73
174.4706279005151 25 32 42 59
174.18381095842403 65 61 119 120
172.69916039170545 55 61 101 110
169.9235122047564 18 8 23 24
167.44252745345193 60 87 111 144
167.4305826305338 61 87 111 131
158.67261893597143 88 87 161 162
157.15279189374905 16 0 21 38
155.76905982896605 50 46 87 88
155.2063143045411 60 55 106 110
153.48289807011074 60 57 106 109
152.55163060419903 20 30 36 49
152.50573759698352 44 55 85 92
152.48606493709514 23 13 37 41
149.96666296213968 32 26 54 60
149.57606760441325 1 18 22 23
148.296999295333 62 59 113 122
148.16544806398016 20 29 36 40
147.24808997063425 22 12 34 35
147.24808997063425 20 8 25 40
145.64683312726027 74 87 131 161
144.55794685869054 24 37 50 103
144.5441109142811 57 49 96 98
142.76203977248295 18 24 30 39
139.71399357258383 40 29 57 63
139.44532978913276 37 40 63 91
139.2838827718412 39 43 67 81
138.27870407260838 44 48 71 92
137.7679207943562 28 20 48 49
137.0 16 1 21 22
136.5650028374766 65 74 120 133
136.40014662748717 55 49 89 98
135.88230201170424 63 76 124 135
135.5322839769182 24 16 38 39
134.82581355215328 46 39 81 87
134.35028842544403 36 49 72 84
133.461604965623 32 43 67 74
132.84953895290718 9 7 7 11
132.59336333316233 4 9 7 9
132.51792331605563 10 7 11 15
131.7269904006009 30 34 51 68
131.54847015454038 55 48 89 92
130.58713566044705 52 44 75 85
129.3560976529518 40 30 57 64
128.70508925446578 82 89 151 155
126.60568707605516 49 51 72 96
126.01983970788092 12 10 15 26
125.29964086141669 31 36 53 62
122.413234578619 31 33 53 56
122.31925441237779 47 39 73 82
122.18837915284743 23 32 42 54
121.2023102090055 27 19 44 46
120.83873551142447 76 73 135 136
120.44085685513866 17 23 33 37
118.66338946785567 30 38 64 68
117.61377470347595 85 81 156 159
