Distance V0 V1 t0 t1
856.7152385711368 71 65 131 133
855.5261538959518 70 65 129 131
841.0719350923558 78 75 145 146
839.5010422864286 37 35 65 66
835.3789559235977 7 1 6 8
827.8725747359916 16 12 25 26
823.4105901675057 72 71 133 134
823.0151881952117 66 65 121 123
797.423977567768 69 65 126 129
784.222544944992 88 83 163 164
762.0104986153407 17 16 26 27
757.190861011938 75 74 136 139
732.8362709364213 59 58 107 109
727.0027510264318 65 64 120 121
716.0174578877251 80 78 147 149
715.4725711024847 24 23 40 41
715.0006993003574 18 17 27 29
702.3446447435903 68 65 124 126
702.0 62 61 112 115
687.2357674044621 29 26 49 51
677.0598201045459 81 78 149 150
676.7569726275452 30 26 51 52
676.0894911178549 67 65 123 124
667.0119938951623 1 2 0 1
640.0 79 78 146 147
635.8907138809309 38 35 66 67
629.1557835703333 8 7 8 9
623.3883219952071 12 8 14 17
621.0128823140467 45 44 78 81
617.0072933118377 73 72 134 135
616.0397714433703 25 24 41 44
614.2637869840611 82 78 150 154
613.9421796879573 5 1 3 6
566.3532466579493 44 43 77 78
566.0035335578746 22 21 33 37
556.60758169468 61 59 111 112
553.0325487708658 64 61 116 120
549.401492535286 84 78 154 157
549.0737655361072 46 44 81 82
546.5400259816292 32 30 53 56
545.0009174304205 35 34 59 62
534.3032846614365 60 59 109 111
531.0084745086466 74 73 135 136
520.0086537741463 40 39 69 70
517.189520388803 27 24 44 46
517.0154736562533 14 12 19 20
502.14340581152715 28 26 47 49
500.9151624776395 58 56 106 107
498.03614326673124 10 8 10 12
497.0010060351991 9 8 9 10
496.1007962098026 78 76 144 145
486.1244696577205 11 8 12 14
482.01659722461835 53 52 93 96
464.24239358335205 54 52 96 98
457.0010940905941 63 61 115 116
455.5809478018149 13 8 17 18
452.0099556425721 39 38 67 69
449.3740090392411 33 24 55 57
447.50083798804224 58 24 103 118
446.02802602527123 36 35 62 65
443.0011286667338 43 42 73 77
440.6222872256917 19 16 28 30
437.0102973615153 4 3 2 4
433.3335897435139 15 12 20 25
431.7244491570984 34 32 58 59
428.47637041031794 86 78 157 160
422.11846678391123 78 77 143 144
413.30981115865126 48 46 84 86
412.393016429716 76 74 139 140
407.82962128810607 86 83 159 163
404.4749683231337 23 20 36 40
403.4959727184399 28 24 46 48
400.4509957535379 49 46 86 87
395.8396139852604 21 17 32 33
394.55924776895034 16 15 24 25
393.7321424522006 37 36 64 65
393.3573438999201 19 18 28 29
389.0 52 51 92 93
388.0463889794621 27 26 45 47
379.10684509779037 3 1 1 3
376.44919976007384 88 86 162 163
368.84820726146955 86 85 158 159
365.60361048545457 41 39 70 72
359.00557098741524 34 24 57 63
356.1305940241585 56 45 100 108
352.8526604689272 31 26 52 54
349.0128937446294 14 13 18 19
345.00144927231827 76 75 139 145
341.73820389298004 25 22 42 43
338.47895060106765 77 74 140 143
336.7328317821118 23 21 36 37
335.3356527421443 33 32 56 58
331.18272901828686 47 44 82 83
327.61104987469514 31 30 52 53
326.97400508297295 19 17 29 32
326.52871236692187 24 20 39 40
311.8589424723941 16 14 23 24
311.20732639190874 42 39 72 73
