Distance V0 V1 t0 t1
389.31735127014315 16 56 31 100
375.9680837517993 37 11 43 65
316.5469949312424 21 56 94 100
313.057502705174 1 12 8 9
306.5436347406353 21 52 89 94
304.41583401656357 8 12 8 11
300.18827425467504 21 50 70 89
297.57688082241873 1 6 0 9
294.4910864525444 14 0 4 6
291.5836072209822 14 3 4 18
284.96491012052695 51 78 141 145
270.0074073057997 26 11 42 43
264.36716891475004 76 51 120 141
262.5280937347468 6 14 6 20
262.3928352680385 20 28 26 30
256.78006153126455 13 3 17 18
255.88473967784793 2 0 1 3
251.40604606890426 12 28 26 38
248.2780699135548 38 24 57 66
247.32973941683602 8 17 11 13
246.98178070456936 6 15 16 20
245.75190741884384 24 28 30 57
243.55902775302746 11 3 14 17
240.752985443587 24 50 70 90
235.76471322061747 12 6 9 16
233.0772404161333 26 13 37 42
227.86399452304877 53 62 96 121
213.32838535928596 28 22 35 45
210.686971595303 14 13 18 27
206.64946164943183 28 15 35 38
206.52602741543254 8 16 13 19
204.51894777746145 2 11 5 14
200.5841469309078 11 4 15 65
194.61243536834948 73 68 122 135
192.56687150182404 42 62 96 99
190.03157632351525 57 67 103 125
189.70766985021982 24 41 66 90
189.61276328348785 64 57 107 115
189.2828571212935 22 33 45 53
178.7568180517879 11 5 5 15
177.59786034747154 62 51 111 120
177.04519197086375 12 20 23 26
172.38619434281853 62 45 99 110
172.20046457544763 15 22 21 35
170.0735135169495 57 70 117 125
169.729196074217 53 67 103 121
169.5228598154243 13 23 28 37
169.0946480525034 77 70 132 142
168.1071087134628 48 64 106 107
164.1584600317632 78 74 144 146
162.3730273167314 16 17 13 24
158.4171707865028 48 60 85 106
158.02847844613325 62 76 119 120
157.3054353797096 48 57 79 107
156.08010763707208 73 58 133 134
154.7772593115668 63 73 112 122
154.0 40 39 64 73
153.52198539622916 77 65 124 132
150.71164520368026 30 40 54 64
150.6585543538766 3 0 1 4
150.08331019803634 17 12 11 23
150.07331541616583 79 70 138 142
149.09393012460302 23 26 37 40
146.972786596703 59 73 112 134
