t V0 V1 V2 t0 t1 t2
0 0 1 2 5 1 -1
1 3 2 1 2 3 0
2 4 3 1 3 14 1
3 4 2 3 2 4 1
4 5 2 4 5 6 3
5 5 0 2 4 7 0
6 6 5 4 7 11 4
7 6 0 5 6 8 5
8 7 0 6 9 10 7
9 8 7 6 10 12 8
10 8 0 7 9 25 8
11 9 6 4 12 15 6
12 9 8 6 11 13 9
13 10 8 9 16 18 12
14 11 4 1 15 26 2
15 11 9 4 14 16 11
16 11 10 9 15 17 13
17 12 10 11 18 19 16
18 12 8 10 17 24 13
19 13 12 11 20 22 17
20 14 13 11 21 27 19
21 15 13 14 22 28 20
22 15 12 13 21 23 19
23 16 12 15 24 29 22
24 16 8 12 23 25 18
25 16 0 8 24 57 10
26 17 11 1 27 50 14
27 17 14 11 26 28 20
28 17 15 14 27 29 21
29 17 16 15 28 30 23
30 18 16 17 31 33 29
31 19 18 17 32 39 30
32 20 18 19 33 34 31
33 20 16 18 32 35 30
34 21 20 19 35 36 32
35 21 16 20 34 45 33
36 22 21 19 37 40 34
37 23 21 22 38 41 36
38 24 21 23 42 44 37
39 25 19 17 40 51 31
40 25 22 19 39 41 36
41 25 23 22 40 42 37
42 25 24 23 41 43 38
43 26 24 25 44 46 42
44 26 21 24 43 45 38
45 26 16 21 44 56 35
46 27 26 25 47 48 43
47 28 27 25 48 49 46
48 28 26 27 47 55 46
49 29 28 25 52 53 47
50 30 17 1 51 26 -1
51 30 25 17 50 52 39
52 30 29 25 51 53 49
53 30 28 29 52 54 49
54 31 28 30 55 53 -1
55 31 26 28 54 56 48
56 31 16 26 55 57 45
57 31 0 16 56 25 -1
