t V0 V1 V2 t0 t1 t2
0 0 1 2 2 1 -1
1 3 2 1 2 3 0
2 3 0 2 1 9 0
3 4 3 1 4 5 1
4 5 3 4 6 8 3
5 6 4 1 6 3 -1
6 6 5 4 5 7 4
7 7 5 6 8 10 6
8 7 3 5 7 9 4
9 7 0 3 8 2 -1
10 8 7 6 11 34 7
11 9 7 8 12 13 10
12 10 9 8 13 14 11
13 10 7 9 12 16 11
14 11 10 8 15 18 12
15 12 10 11 16 17 14
16 12 7 10 15 26 13
17 13 12 11 19 20 15
18 14 11 8 19 21 14
19 14 13 11 18 20 17
20 14 12 13 19 25 17
21 15 14 8 22 23 18
22 16 15 8 23 35 21
23 16 14 15 22 24 21
24 17 14 16 25 27 23
25 17 12 14 24 26 20
26 17 7 12 25 28 16
27 18 17 16 28 29 24
28 18 7 17 27 31 26
29 19 18 16 30 32 27
30 20 18 19 31 33 29
31 20 7 18 30 39 28
32 21 19 16 33 36 29
33 21 20 19 32 38 30
34 22 8 6 35 41 10
35 22 16 8 34 36 22
36 22 21 16 35 37 32
37 23 21 22 38 40 36
38 23 20 21 37 39 33
39 23 7 20 38 45 31
40 24 23 22 42 44 37
41 25 22 6 42 66 34
42 25 24 22 41 43 40
43 26 24 25 44 46 42
44 26 23 24 43 45 40
45 26 7 23 44 50 39
46 27 26 25 47 52 43
47 28 26 27 48 49 46
48 29 28 27 49 51 47
49 29 26 28 48 50 47
50 29 7 26 49 45 -1
51 30 29 27 53 54 48
52 31 27 25 53 67 46
53 31 30 27 52 54 51
54 31 29 30 53 55 51
55 32 29 31 56 57 54
56 33 32 31 57 63 55
57 33 29 32 56 58 55
58 34 29 33 59 62 57
59 35 34 33 60 61 58
60 36 35 33 61 64 59
61 36 34 35 60 62 59
62 36 29 34 61 65 58
63 37 33 31 64 68 56
64 37 36 33 63 65 60
65 37 29 36 64 78 62
66 38 25 6 67 73 41
67 38 31 25 66 68 52
68 38 37 31 67 69 63
69 39 37 38 70 72 68
70 40 39 38 71 74 69
71 41 39 40 72 75 70
72 41 37 39 71 77 69
73 42 38 6 74 79 66
74 42 40 38 73 75 70
75 42 41 40 74 76 71
76 43 41 42 77 80 75
77 43 37 41 76 78 72
78 43 29 37 77 65 -1
79 44 42 6 80 82 73
80 44 43 42 79 81 76
81 45 43 44 83 85 80
82 46 44 6 83 86 79
83 46 45 44 82 84 81
84 47 45 46 85 87 83
85 47 43 45 84 89 81
86 48 46 6 87 82 -1
87 48 47 46 86 88 84
88 49 47 48 89 87 -1
89 49 43 47 88 85 -1
