t V0 V1 V2 t0 t1 t2
0 0 2 1 7 3 -1
1 1 4 5 3 4 15
2 2 6 4 3 12 6
3 4 1 2 1 2 0
4 5 3 1 1 9 -1
5 2 7 10 7 12 13
6 4 6 13 2 17 11
7 7 2 0 5 0 -1
8 5 12 9 9 15 16
9 9 3 5 8 10 4
10 3 9 8 9 20 -1
11 6 10 13 6 12 14
12 10 6 2 5 11 2
13 11 10 7 14 25 5
14 10 11 13 11 13 23
15 12 5 4 8 17 1
16 12 16 9 8 19 22
17 13 12 4 6 18 15
18 12 13 21 17 21 29
19 16 12 14 16 33 21
20 15 8 9 22 31 10
21 21 14 12 18 33 19
22 16 15 9 16 30 20
23 17 13 11 24 27 14
24 13 17 22 23 29 35
25 18 11 7 26 13 -1
26 11 18 19 25 27 37
27 19 17 11 26 28 23
28 17 19 23 27 35 38
29 22 21 13 24 42 18
30 20 15 16 31 32 22
31 20 8 15 30 20 -1
32 21 20 16 33 48 30
33 21 16 14 21 32 19
34 25 22 23 39 43 35
35 23 22 17 28 34 24
36 23 24 27 38 43 55
37 24 19 18 38 26 -1
38 24 23 19 36 37 28
39 22 25 26 34 40 41
40 22 26 29 39 44 51
41 25 27 26 39 43 50
42 28 21 22 44 45 29
43 27 25 23 36 41 34
44 29 28 22 40 63 42
45 21 28 30 42 48 47
46 26 31 32 50 51 53
47 28 38 30 45 63 -1
48 30 20 21 45 32 -1
49 27 34 31 50 55 56
50 31 26 27 46 49 41
51 32 29 26 46 52 40
52 29 32 35 51 54 58
53 33 32 31 56 58 46
54 35 37 29 52 65 61
55 34 27 24 49 36 -1
56 34 33 31 49 57 53
57 33 34 36 56 59 64
58 35 32 33 52 59 53
59 36 35 33 57 60 58
60 35 36 39 59 65 64
61 29 37 38 54 63 62
62 37 39 38 61 65 -1
63 38 28 29 47 61 44
64 39 36 34 60 57 -1
65 39 37 35 60 62 54
