t V0 V1 V2 t0 t1 t2
0 1 5 0 2 3 -1
1 3 2 0 8 12 -1
2 1 11 5 0 4 13
3 0 5 10 0 12 5
4 11 1 4 2 17 -1
5 5 6 10 3 13 31
6 2 9 8 7 8 10
7 2 8 7 6 26 -1
8 9 2 3 6 15 1
9 3 10 15 12 21 32
10 8 9 17 6 26 24
11 11 14 6 13 14 18
12 10 3 0 3 9 1
13 11 6 5 2 11 5
14 14 11 13 11 19 17
15 12 9 3 16 22 8
16 9 12 16 15 24 25
17 13 11 4 14 48 4
18 6 14 20 11 20 30
19 14 13 21 14 30 33
20 6 20 22 18 31 36
21 3 15 18 9 22 37
22 18 12 3 21 23 15
23 12 18 25 22 25 42
24 9 16 17 10 16 40
25 25 16 12 23 28 16
26 17 7 8 10 29 7
27 10 22 23 31 32 46
28 16 25 26 25 40 50
29 19 7 17 43 103 26
30 21 20 14 19 34 18
31 22 10 6 20 27 5
32 23 15 10 27 35 9
33 21 29 13 19 45 48
34 21 31 20 30 38 36
35 15 23 24 32 37 44
36 22 20 31 20 47 34
37 24 18 15 35 39 21
38 31 21 28 34 49 45
39 18 24 27 37 41 52
40 26 17 16 28 43 24
41 18 27 35 39 42 71
42 35 25 18 41 53 23
43 26 19 17 40 55 29
44 24 23 34 35 52 51
45 29 28 21 33 49 38
46 32 23 22 47 51 27
47 31 32 22 36 60 46
48 29 13 4 33 65 17
49 31 28 29 38 59 45
50 30 26 25 53 54 28
51 23 32 34 44 46 56
52 34 27 24 44 57 39
53 35 30 25 42 58 50
54 33 26 30 55 72 50
55 33 19 26 54 69 43
56 32 36 34 51 60 61
57 27 34 40 52 62 67
58 30 35 42 53 72 64
59 31 29 38 49 66 65
60 36 32 31 56 66 47
61 34 36 37 56 70 73
62 27 40 41 57 71 80
63 36 38 43 66 73 91
64 35 41 42 58 71 76
65 38 29 4 59 120 48
66 38 36 31 59 63 60
67 34 43 40 57 70 74
68 33 42 45 72 78 77
69 39 19 33 78 88 55
70 43 34 37 67 73 61
71 41 35 27 62 64 41
72 42 33 30 58 68 54
73 43 37 36 63 70 61
74 40 43 46 67 75 79
75 40 46 48 74 80 81
76 42 41 48 64 83 80
77 42 44 45 68 83 90
78 45 39 33 68 86 69
79 43 47 46 74 92 81
80 48 41 40 75 76 62
81 48 46 47 75 93 79
82 43 51 52 91 92 109
83 48 44 42 76 84 77
84 44 48 56 83 95 99
85 45 50 49 86 90 96
86 49 39 45 85 87 78
87 39 49 57 86 88 102
88 57 19 39 87 103 69
89 47 52 53 92 93 97
90 50 45 44 85 95 77
91 51 43 38 82 115 63
92 52 47 43 82 89 79
93 53 48 47 89 94 81
94 48 53 55 93 99 106
95 56 50 44 84 100 90
96 54 49 50 100 102 85
97 58 53 52 98 104 89
98 53 58 59 97 105 113
99 48 55 56 84 94 111
100 56 54 50 95 101 96
101 54 56 62 100 112 111
102 57 49 54 87 126 96
103 57 7 19 88 29 -1
104 58 52 60 97 107 109
105 53 59 61 98 106 110
106 61 55 53 105 108 94
107 58 60 63 104 113 119
108 55 61 62 106 111 122
109 60 52 51 104 117 82
110 59 63 61 105 113 114
111 62 56 55 101 108 99
112 54 62 68 101 126 123
113 63 59 58 107 110 98
114 61 63 69 110 127 121
115 65 51 38 116 120 91
116 51 65 64 115 117 124
117 64 60 51 116 118 109
118 60 64 67 117 119 124
119 67 63 60 118 121 107
120 65 38 4 115 65 -1
121 67 69 63 119 114 -1
122 66 62 61 123 127 108
123 62 66 68 112 122 125
124 67 64 65 118 116 -1
125 66 69 68 123 127 -1
126 68 57 54 112 102 -1
127 69 66 61 114 125 122
