t V0 V1 V2 t0 t1 t2
0 0 2 4 3 5 -1
1 1 4 7 3 8 11
2 3 0 1 14 53 3
3 4 1 0 0 1 2
4 2 5 8 7 10 -1
5 6 4 2 6 15 0
6 4 6 10 5 11 13
7 14 2 8 9 15 4
8 1 7 11 1 14 16
9 8 12 14 7 10 25
10 8 5 12 4 9 38
11 10 7 4 6 12 1
12 7 10 13 11 16 18
13 14 10 6 15 17 6
14 11 3 1 8 21 2
15 14 6 2 7 13 5
16 13 11 7 12 20 8
17 10 14 21 13 26 33
18 16 13 10 19 26 12
19 13 16 17 18 23 27
20 15 11 13 21 23 16
21 15 3 11 20 49 14
22 14 18 24 25 33 44
23 17 15 13 19 30 20
24 12 23 18 25 35 36
25 18 14 12 22 24 9
26 21 16 10 17 32 18
27 19 17 16 28 29 19
28 17 19 22 27 34 29
29 22 19 16 28 60 27
30 20 15 17 31 34 23
31 20 15 31 30 48 49
32 16 21 34 26 60 46
33 24 21 14 22 37 17
34 22 20 17 28 47 30
35 12 25 23 24 38 39
36 18 23 32 24 51 40
37 21 24 27 33 42 45
38 25 12 5 35 10 -1
39 23 25 26 35 40 50
40 23 26 32 36 39 69
41 24 28 35 44 45 55
42 21 27 37 37 63 62
43 26 30 40 50 57 68
44 28 24 18 41 51 22
45 35 27 24 41 59 37
46 21 36 34 32 63 61
47 29 20 22 48 52 34
48 31 20 29 31 65 47
49 31 3 15 31 53 21
50 30 26 25 43 68 39
51 32 28 18 36 54 44
52 38 29 22 56 65 47
53 31 0 3 49 2 -1
54 28 32 33 51 55 58
55 28 33 35 41 54 66
56 22 34 38 52 60 64
57 26 40 41 43 69 72
58 33 32 41 54 70 69
59 27 35 39 45 62 77
60 34 22 16 32 56 29
61 34 36 50 46 88 75
62 39 37 27 59 67 42
63 37 36 21 42 80 46
64 43 38 34 76 88 56
65 38 31 29 52 76 48
66 35 33 44 55 77 70
67 39 46 37 62 73 80
68 40 30 25 43 50 -1
69 41 32 26 57 58 40
70 33 41 44 58 66 78
71 39 44 42 73 77 74
72 41 40 47 57 81 95
73 46 39 42 67 74 71
74 42 44 46 71 73 83
75 36 46 50 61 80 87
76 43 31 38 64 65 -1
77 44 39 35 66 71 59
78 41 45 44 70 81 79
79 45 48 44 78 89 83
80 46 36 37 67 75 63
81 47 45 41 72 86 78
82 45 49 53 86 89 92
83 48 46 44 79 84 74
84 46 48 54 83 87 98
85 49 47 55 86 91 95
86 49 45 47 82 85 81
87 54 50 46 84 94 75
88 50 43 34 61 90 64
89 53 48 45 82 93 79
90 51 43 50 101 102 88
91 55 52 49 85 96 92
92 49 52 53 82 91 97
93 48 53 58 89 103 97
94 50 54 56 87 99 100
95 55 47 40 85 72 -1
96 52 55 58 91 97 104
97 58 53 52 93 96 92
98 59 54 48 100 103 84
99 50 56 57 94 101 105
100 59 56 54 98 105 94
101 57 51 50 99 102 90
102 57 43 51 101 90 -1
103 48 58 59 93 98 104
104 59 58 55 103 96 -1
105 59 57 56 100 99 -1
