V x y Q
0 10.0 19.0 0
90 19.5 28.5 0
91 24.0 254.0 0
92 21.5 362.0 0
90 19.5 28.5 1
1 29.0 38.0 1
93 31.0 371.5 1
91 24.0 254.0 1
93 31.0 371.5 2
2 33.0 705.0 2
92 21.5 362.0 2
91 24.0 254.0 2
3 38.0 417.0 3
94 35.5 561.0 3
95 33.33 386.67 3
96 33.5 227.5 3
94 35.5 561.0 4
2 33.0 705.0 4
93 31.0 371.5 4
95 33.33 386.67 4
93 31.0 371.5 5
1 29.0 38.0 5
96 33.5 227.5 5
95 33.33 386.67 5
4 41.0 854.0 6
97 37.0 779.5 6
98 37.33 658.67 6
99 39.5 635.5 6
97 37.0 779.5 7
2 33.0 705.0 7
94 35.5 561.0 7
98 37.33 658.67 7
94 35.5 561.0 8
3 38.0 417.0 8
99 39.5 635.5 8
98 37.33 658.67 8
5 63.0 651.0 9
100 50.5 534.0 9
101 43.33 368.67 9
102 46.0 344.5 9
100 50.5 534.0 10
3 38.0 417.0 10
96 33.5 227.5 10
101 43.33 368.67 10
96 33.5 227.5 11
1 29.0 38.0 11
102 46.0 344.5 11
101 43.33 368.67 11
5 63.0 651.0 12
103 52.0 752.5 12
104 47.33 640.67 12
100 50.5 534.0 12
103 52.0 752.5 13
4 41.0 854.0 13
99 39.5 635.5 13
104 47.33 640.67 13
99 39.5 635.5 14
3 38.0 417.0 14
100 50.5 534.0 14
104 47.33 640.67 14
6 69.0 919.0 15
105 55.0 886.5 15
106 57.67 808.0 15
107 66.0 785.0 15
105 55.0 886.5 16
4 41.0 854.0 16
103 52.0 752.5 16
106 57.67 808.0 16
103 52.0 752.5 17
5 63.0 651.0 17
107 66.0 785.0 17
106 57.67 808.0 17
7 92.0 871.0 18
108 77.5 761.0 18
109 61.33 520.0 18
110 60.5 454.5 18
108 77.5 761.0 19
5 63.0 651.0 19
102 46.0 344.5 19
109 61.33 520.0 19
102 46.0 344.5 20
1 29.0 38.0 20
110 60.5 454.5 20
109 61.33 520.0 20
7 92.0 871.0 21
111 80.5 895.0 21
112 74.67 813.67 21
108 77.5 761.0 21
111 80.5 895.0 22
6 69.0 919.0 22
107 66.0 785.0 22
112 74.67 813.67 22
107 66.0 785.0 23
5 63.0 651.0 23
108 77.5 761.0 23
112 74.67 813.67 23
8 106.0 242.0 24
113 99.0 556.5 24
114 75.67 383.67 24
115 67.5 140.0 24
113 99.0 556.5 25
7 92.0 871.0 25
110 60.5 454.5 25
114 75.67 383.67 25
110 60.5 454.5 26
1 29.0 38.0 26
115 67.5 140.0 26
114 75.67 383.67 26
9 107.0 739.0 27
116 99.5 805.0 27
117 101.67 617.33 27
118 106.5 490.5 27
116 99.5 805.0 28
7 92.0 871.0 28
113 99.0 556.5 28
117 101.67 617.33 28
113 99.0 556.5 29
8 106.0 242.0 29
118 106.5 490.5 29
117 101.67 617.33 29
10 112.0 740.0 30
119 109.5 739.5 30
120 108.33 573.67 30
121 109.0 491.0 30
119 109.5 739.5 31
9 107.0 739.0 31
118 106.5 490.5 31
120 108.33 573.67 31
118 106.5 490.5 32
8 106.0 242.0 32
121 109.0 491.0 32
120 108.33 573.67 32
10 112.0 740.0 33
122 102.0 805.5 33
123 103.67 783.33 33
119 109.5 739.5 33
122 102.0 805.5 34
7 92.0 871.0 34
116 99.5 805.0 34
123 103.67 783.33 34
116 99.5 805.0 35
9 107.0 739.0 35
119 109.5 739.5 35
123 103.67 783.33 35
11 117.0 728.0 36
124 114.5 734.0 36
125 111.67 570.0 36
126 111.5 485.0 36
124 114.5 734.0 37
10 112.0 740.0 37
121 109.0 491.0 37
125 111.67 570.0 37
121 109.0 491.0 38
8 106.0 242.0 38
126 111.5 485.0 38
125 111.67 570.0 38
11 117.0 728.0 39
127 104.5 799.5 39
128 107.0 779.67 39
124 114.5 734.0 39
127 104.5 799.5 40
7 92.0 871.0 40
122 102.0 805.5 40
128 107.0 779.67 40
122 102.0 805.5 41
10 112.0 740.0 41
124 114.5 734.0 41
128 107.0 779.67 41
12 128.0 865.0 42
129 122.5 796.5 42
130 117.0 611.67 42
131 117.0 553.5 42
129 122.5 796.5 43
11 117.0 728.0 43
126 111.5 485.0 43
130 117.0 611.67 43
126 111.5 485.0 44
8 106.0 242.0 44
131 117.0 553.5 44
130 117.0 611.67 44
12 128.0 865.0 45
132 110.0 868.0 45
133 112.33 821.33 45
129 122.5 796.5 45
132 110.0 868.0 46
7 92.0 871.0 46
127 104.5 799.5 46
133 112.33 821.33 46
127 104.5 799.5 47
11 117.0 728.0 47
129 122.5 796.5 47
133 112.33 821.33 47
12 128.0 865.0 48
134 98.5 892.0 48
135 96.33 885.0 48
132 110.0 868.0 48
134 98.5 892.0 49
6 69.0 919.0 49
111 80.5 895.0 49
135 96.33 885.0 49
111 80.5 895.0 50
7 92.0 871.0 50
132 110.0 868.0 50
135 96.33 885.0 50
13 129.0 697.0 51
136 128.5 781.0 51
137 121.0 601.33 51
138 117.5 469.5 51
136 128.5 781.0 52
12 128.0 865.0 52
131 117.0 553.5 52
137 121.0 601.33 52
131 117.0 553.5 53
8 106.0 242.0 53
138 117.5 469.5 53
137 121.0 601.33 53
14 132.0 348.0 54
139 130.5 522.5 54
140 122.33 429.0 54
141 119.0 295.0 54
139 130.5 522.5 55
13 129.0 697.0 55
138 117.5 469.5 55
140 122.33 429.0 55
138 117.5 469.5 56
8 106.0 242.0 56
141 119.0 295.0 56
140 122.33 429.0 56
14 132.0 348.0 57
142 130.0 606.5 57
143 129.67 636.67 57
139 130.5 522.5 57
142 130.0 606.5 58
12 128.0 865.0 58
136 128.5 781.0 58
143 129.67 636.67 58
136 128.5 781.0 59
13 129.0 697.0 59
139 130.5 522.5 59
143 129.67 636.67 59
15 145.0 432.0 60
144 136.5 648.5 60
145 135.0 548.33 60
146 138.5 390.0 60
144 136.5 648.5 61
12 128.0 865.0 61
142 130.0 606.5 61
145 135.0 548.33 61
142 130.0 606.5 62
14 132.0 348.0 62
146 138.5 390.0 62
145 135.0 548.33 62
16 166.0 38.0 63
147 97.5 38.0 63
148 68.33 31.67 63
149 88.0 28.5 63
147 97.5 38.0 64
1 29.0 38.0 64
90 19.5 28.5 64
148 68.33 31.67 64
90 19.5 28.5 65
0 10.0 19.0 65
149 88.0 28.5 65
148 68.33 31.67 65
16 166.0 38.0 66
150 136.0 140.0 66
151 100.33 106.0 66
147 97.5 38.0 66
150 136.0 140.0 67
8 106.0 242.0 67
115 67.5 140.0 67
151 100.33 106.0 67
115 67.5 140.0 68
1 29.0 38.0 68
147 97.5 38.0 68
151 100.33 106.0 68
16 166.0 38.0 69
152 149.0 193.0 69
153 134.67 209.33 69
150 136.0 140.0 69
152 149.0 193.0 70
14 132.0 348.0 70
141 119.0 295.0 70
153 134.67 209.33 70
141 119.0 295.0 71
8 106.0 242.0 71
150 136.0 140.0 71
153 134.67 209.33 71
16 166.0 38.0 72
154 155.5 235.0 72
155 147.67 272.67 72
152 149.0 193.0 72
154 155.5 235.0 73
15 145.0 432.0 73
146 138.5 390.0 73
155 147.67 272.67 73
146 138.5 390.0 74
14 132.0 348.0 74
152 149.0 193.0 74
155 147.67 272.67 74
16 166.0 38.0 75
156 147.0 451.5 75
157 146.33 445.0 75
154 155.5 235.0 75
156 147.0 451.5 76
12 128.0 865.0 76
144 136.5 648.5 76
157 146.33 445.0 76
144 136.5 648.5 77
15 145.0 432.0 77
154 155.5 235.0 77
157 146.33 445.0 77
17 170.0 800.0 78
158 149.0 832.5 78
159 154.67 567.67 78
160 168.0 419.0 78
158 149.0 832.5 79
12 128.0 865.0 79
156 147.0 451.5 79
159 154.67 567.67 79
156 147.0 451.5 80
16 166.0 38.0 80
160 168.0 419.0 80
159 154.67 567.67 80
18 171.0 85.0 81
161 170.5 442.5 81
162 169.0 307.67 81
163 168.5 61.5 81
161 170.5 442.5 82
17 170.0 800.0 82
160 168.0 419.0 82
162 169.0 307.67 82
160 168.0 419.0 83
16 166.0 38.0 83
163 168.5 61.5 83
162 169.0 307.67 83
19 214.0 476.0 84
164 192.5 280.5 84
165 183.67 199.67 84
166 190.0 257.0 84
164 192.5 280.5 85
18 171.0 85.0 85
163 168.5 61.5 85
165 183.67 199.67 85
163 168.5 61.5 86
16 166.0 38.0 86
166 190.0 257.0 86
165 183.67 199.67 86
19 214.0 476.0 87
167 192.0 638.0 87
168 185.0 453.67 87
164 192.5 280.5 87
167 192.0 638.0 88
17 170.0 800.0 88
161 170.5 442.5 88
168 185.0 453.67 88
161 170.5 442.5 89
18 171.0 85.0 89
164 192.5 280.5 89
168 185.0 453.67 89
20 215.0 341.0 90
169 214.5 408.5 90
