V x y Q
0 17.0 614.0 0
80 23.0 418.0 0
81 31.33 568.0 0
82 32.5 741.0 0
80 23.0 418.0 1
1 29.0 222.0 1
83 38.5 545.0 1
81 31.33 568.0 1
83 38.5 545.0 2
2 48.0 868.0 2
82 32.5 741.0 2
81 31.33 568.0 2
3 50.0 761.0 3
84 49.0 814.5 3
85 42.33 617.0 3
86 39.5 491.5 3
84 49.0 814.5 4
2 48.0 868.0 4
83 38.5 545.0 4
85 42.33 617.0 4
83 38.5 545.0 5
1 29.0 222.0 5
86 39.5 491.5 5
85 42.33 617.0 5
4 55.0 947.0 6
87 51.5 907.5 6
88 51.0 858.67 6
89 52.5 854.0 6
87 51.5 907.5 7
2 48.0 868.0 7
84 49.0 814.5 7
88 51.0 858.67 7
84 49.0 814.5 8
3 50.0 761.0 8
89 52.5 854.0 8
88 51.0 858.67 8
4 55.0 947.0 9
90 36.0 780.5 9
91 40.0 809.67 9
87 51.5 907.5 9
90 36.0 780.5 10
0 17.0 614.0 10
82 32.5 741.0 10
91 40.0 809.67 10
82 32.5 741.0 11
2 48.0 868.0 11
87 51.5 907.5 11
91 40.0 809.67 11
5 73.0 925.0 12
92 61.5 843.0 12
93 50.67 636.0 12
94 51.0 573.5 12
92 61.5 843.0 13
3 50.0 761.0 13
86 39.5 491.5 13
93 50.67 636.0 13
86 39.5 491.5 14
1 29.0 222.0 14
94 51.0 573.5 14
93 50.67 636.0 14
5 73.0 925.0 15
95 64.0 936.0 15
96 59.33 877.67 15
92 61.5 843.0 15
95 64.0 936.0 16
4 55.0 947.0 16
89 52.5 854.0 16
96 59.33 877.67 16
89 52.5 854.0 17
3 50.0 761.0 17
92 61.5 843.0 17
96 59.33 877.67 17
6 75.0 516.0 18
97 74.0 720.5 18
98 59.0 554.33 18
99 52.0 369.0 18
97 74.0 720.5 19
5 73.0 925.0 19
94 51.0 573.5 19
98 59.0 554.33 19
94 51.0 573.5 20
1 29.0 222.0 20
99 52.0 369.0 20
98 59.0 554.33 20
7 98.0 115.0 21
100 86.5 315.5 21
101 67.33 284.33 21
102 63.5 168.5 21
100 86.5 315.5 22
6 75.0 516.0 22
99 52.0 369.0 22
101 67.33 284.33 22
99 52.0 369.0 23
1 29.0 222.0 23
102 63.5 168.5 23
101 67.33 284.33 23
7 98.0 115.0 24
103 85.5 520.0 24
104 82.0 518.67 24
100 86.5 315.5 24
103 85.5 520.0 25
5 73.0 925.0 25
97 74.0 720.5 25
104 82.0 518.67 25
97 74.0 720.5 26
6 75.0 516.0 26
100 86.5 315.5 26
104 82.0 518.67 26
8 128.0 143.0 27
105 100.5 534.0 27
106 99.67 394.33 27
107 113.0 129.0 27
105 100.5 534.0 28
5 73.0 925.0 28
103 85.5 520.0 28
106 99.67 394.33 28
103 85.5 520.0 29
7 98.0 115.0 29
107 113.0 129.0 29
106 99.67 394.33 29
9 202.0 68.0 30
108 165.0 105.5 30
109 142.67 108.67 30
110 150.0 91.5 30
108 165.0 105.5 31
8 128.0 143.0 31
107 113.0 129.0 31
109 142.67 108.67 31
107 113.0 129.0 32
7 98.0 115.0 32
110 150.0 91.5 32
109 142.67 108.67 32
9 202.0 68.0 33
111 137.5 496.5 33
112 134.33 378.67 33
108 165.0 105.5 33
111 137.5 496.5 34
5 73.0 925.0 34
105 100.5 534.0 34
112 134.33 378.67 34
105 100.5 534.0 35
8 128.0 143.0 35
108 165.0 105.5 35
112 134.33 378.67 35
10 214.0 47.0 36
113 208.0 57.5 36
114 171.33 76.67 36
115 156.0 81.0 36
113 208.0 57.5 37
9 202.0 68.0 37
110 150.0 91.5 37
114 171.33 76.67 37
110 150.0 91.5 38
7 98.0 115.0 38
115 156.0 81.0 38
114 171.33 76.67 38
10 214.0 47.0 39
116 143.5 486.0 39
117 163.0 346.67 39
113 208.0 57.5 39
116 143.5 486.0 40
5 73.0 925.0 40
111 137.5 496.5 40
117 163.0 346.67 40
111 137.5 496.5 41
9 202.0 68.0 41
113 208.0 57.5 41
117 163.0 346.67 41
11 250.0 900.0 42
118 161.5 912.5 42
119 179.0 624.0 42
120 232.0 473.5 42
118 161.5 912.5 43
5 73.0 925.0 43
116 143.5 486.0 43
119 179.0 624.0 43
116 143.5 486.0 44
10 214.0 47.0 44
120 232.0 473.5 44
119 179.0 624.0 44
11 250.0 900.0 45
121 152.5 923.5 45
122 126.0 924.0 45
118 161.5 912.5 45
121 152.5 923.5 46
4 55.0 947.0 46
95 64.0 936.0 46
122 126.0 924.0 46
95 64.0 936.0 47
5 73.0 925.0 47
118 161.5 912.5 47
122 126.0 924.0 47
12 283.0 405.0 48
123 266.5 652.5 48
124 249.0 450.67 48
125 248.5 226.0 48
123 266.5 652.5 49
11 250.0 900.0 49
120 232.0 473.5 49
124 249.0 450.67 49
120 232.0 473.5 50
10 214.0 47.0 50
125 248.5 226.0 50
124 249.0 450.67 50
13 294.0 841.0 51
126 272.0 870.5 51
127 275.67 715.33 51
128 288.5 623.0 51
126 272.0 870.5 52
11 250.0 900.0 52
123 266.5 652.5 52
127 275.67 715.33 52
123 266.5 652.5 53
12 283.0 405.0 53
128 288.5 623.0 53
127 275.67 715.33 53
14 311.0 631.0 54
129 302.5 736.0 54
130 296.0 625.67 54
131 297.0 518.0 54
129 302.5 736.0 55
13 294.0 841.0 55
128 288.5 623.0 55
130 296.0 625.67 55
128 288.5 623.0 56
12 283.0 405.0 56
131 297.0 518.0 56
130 296.0 625.67 56
15 321.0 538.0 57
132 302.0 471.5 57
133 272.67 330.0 57
134 267.5 292.5 57
132 302.0 471.5 58
12 283.0 405.0 58
125 248.5 226.0 58
133 272.67 330.0 58
125 248.5 226.0 59
10 214.0 47.0 59
134 267.5 292.5 59
133 272.67 330.0 59
15 321.0 538.0 60
135 316.0 584.5 60
136 305.0 524.67 60
132 302.0 471.5 60
135 316.0 584.5 61
14 311.0 631.0 61
131 297.0 518.0 61
136 305.0 524.67 61
131 297.0 518.0 62
12 283.0 405.0 62
132 302.0 471.5 62
136 305.0 524.67 62
15 321.0 538.0 63
137 307.5 689.5 63
138 308.67 670.0 63
135 316.0 584.5 63
137 307.5 689.5 64
13 294.0 841.0 64
129 302.5 736.0 64
138 308.67 670.0 64
129 302.5 736.0 65
14 311.0 631.0 65
135 316.0 584.5 65
138 308.67 670.0 65
16 331.0 105.0 66
139 326.0 321.5 66
140 288.67 230.0 66
141 272.5 76.0 66
139 326.0 321.5 67
15 321.0 538.0 67
134 267.5 292.5 67
140 288.67 230.0 67
134 267.5 292.5 68
10 214.0 47.0 68
141 272.5 76.0 68
140 288.67 230.0 68
17 342.0 267.0 69
142 331.5 402.5 69
143 331.33 303.33 69
144 336.5 186.0 69
142 331.5 402.5 70
15 321.0 538.0 70
139 326.0 321.5 70
143 331.33 303.33 70
139 326.0 321.5 71
16 331.0 105.0 71
144 336.5 186.0 71
143 331.33 303.33 71
18 362.0 232.0 72
145 352.0 249.5 72
146 345.0 201.33 72
147 346.5 168.5 72
145 352.0 249.5 73
17 342.0 267.0 73
144 336.5 186.0 73
