V x y Q
0 15.0 111.0 0
40 22.0 122.5 0
41 21.67 132.0 0
42 18.0 131.0 0
40 22.0 122.5 1
2 29.0 134.0 1
43 25.0 142.5 1
41 21.67 132.0 1
43 25.0 142.5 2
1 21.0 151.0 2
42 18.0 131.0 2
41 21.67 132.0 2
1 21.0 151.0 3
44 47.5 165.5 3
45 58.33 214.0 3
46 50.5 231.0 3
44 47.5 165.5 4
4 74.0 180.0 4
47 77.0 245.5 4
45 58.33 214.0 4
47 77.0 245.5 5
5 80.0 311.0 5
46 50.5 231.0 5
45 58.33 214.0 5
2 29.0 134.0 6
48 57.0 147.0 6
49 62.67 158.0 6
50 51.5 157.0 6
48 57.0 147.0 7
6 85.0 160.0 7
51 79.5 170.0 7
49 62.67 158.0 7
51 79.5 170.0 8
4 74.0 180.0 8
50 51.5 157.0 8
49 62.67 158.0 8
4 74.0 180.0 9
44 47.5 165.5 9
52 41.33 155.0 9
50 51.5 157.0 9
44 47.5 165.5 10
1 21.0 151.0 10
43 25.0 142.5 10
52 41.33 155.0 10
43 25.0 142.5 11
2 29.0 134.0 11
50 51.5 157.0 11
52 41.33 155.0 11
5 80.0 311.0 12
53 69.0 354.0 12
54 53.0 286.33 12
46 50.5 231.0 12
53 69.0 354.0 13
3 58.0 397.0 13
55 39.5 274.0 13
54 53.0 286.33 13
55 39.5 274.0 14
1 21.0 151.0 14
46 50.5 231.0 14
54 53.0 286.33 14
2 29.0 134.0 15
56 57.0 90.5 15
57 77.67 106.67 15
58 74.0 136.5 15
56 57.0 90.5 16
7 85.0 47.0 16
59 102.0 93.0 16
57 77.67 106.67 16
59 102.0 93.0 17
10 119.0 139.0 17
58 74.0 136.5 17
57 77.67 106.67 17
4 74.0 180.0 18
51 79.5 170.0 18
60 109.33 169.0 18
61 121.5 173.5 18
51 79.5 170.0 19
6 85.0 160.0 19
62 127.0 163.5 19
60 109.33 169.0 19
62 127.0 163.5 20
13 169.0 167.0 20
61 121.5 173.5 20
60 109.33 169.0 20
7 85.0 47.0 21
56 57.0 90.5 21
63 43.0 97.33 21
64 50.0 79.0 21
56 57.0 90.5 22
2 29.0 134.0 22
40 22.0 122.5 22
63 43.0 97.33 22
40 22.0 122.5 23
0 15.0 111.0 23
64 50.0 79.0 23
63 43.0 97.33 23
5 80.0 311.0 24
65 122.5 309.0 24
66 118.67 333.67 24
67 95.5 347.0 24
65 122.5 309.0 25
12 165.0 307.0 25
68 138.0 345.0 25
66 118.67 333.67 25
68 138.0 345.0 26
9 111.0 383.0 26
67 95.5 347.0 26
66 118.67 333.67 26
9 111.0 383.0 27
69 84.5 390.0 27
70 83.0 363.67 27
67 95.5 347.0 27
69 84.5 390.0 28
3 58.0 397.0 28
53 69.0 354.0 28
70 83.0 363.67 28
53 69.0 354.0 29
5 80.0 311.0 29
67 95.5 347.0 29
70 83.0 363.67 29
3 58.0 397.0 30
69 84.5 390.0 30
71 85.33 420.33 30
72 72.5 439.0 30
69 84.5 390.0 31
9 111.0 383.0 31
73 99.0 432.0 31
71 85.33 420.33 31
73 99.0 432.0 32
8 87.0 481.0 32
72 72.5 439.0 32
71 85.33 420.33 32
6 85.0 160.0 33
74 102.0 149.5 33
75 124.33 155.33 33
62 127.0 163.5 33
