V x y Q
1 17.0 178.0 0
70 48.0 245.5 0
71 37.33 276.67 0
72 16.5 258.5 0
70 48.0 245.5 1
5 79.0 313.0 1
73 47.5 326.0 1
71 37.33 276.67 1
73 47.5 326.0 2
0 16.0 339.0 2
72 16.5 258.5 2
71 37.33 276.67 2
3 48.0 711.0 3
74 36.5 743.0 3
75 29.67 608.33 3
76 32.0 525.0 3
74 36.5 743.0 4
2 25.0 775.0 4
77 20.5 557.0 4
75 29.67 608.33 4
77 20.5 557.0 5
0 16.0 339.0 5
76 32.0 525.0 5
75 29.67 608.33 5
1 17.0 178.0 6
78 90.5 201.0 6
79 86.67 238.33 6
70 48.0 245.5 6
78 90.5 201.0 7
11 164.0 224.0 7
80 121.5 268.5 7
79 86.67 238.33 7
80 121.5 268.5 8
5 79.0 313.0 8
70 48.0 245.5 8
79 86.67 238.33 8
0 16.0 339.0 9
73 47.5 326.0 9
81 83.67 364.0 9
82 86.0 389.5 9
73 47.5 326.0 10
5 79.0 313.0 10
83 117.5 376.5 10
81 83.67 364.0 10
83 117.5 376.5 11
10 156.0 440.0 11
82 86.0 389.5 11
81 83.67 364.0 11
11 164.0 224.0 12
78 90.5 201.0 12
84 86.33 149.67 12
85 121.0 135.5 12
78 90.5 201.0 13
1 17.0 178.0 13
86 47.5 112.5 13
84 86.33 149.67 13
86 47.5 112.5 14
4 78.0 47.0 14
85 121.0 135.5 14
84 86.33 149.67 14
5 79.0 313.0 15
87 96.5 310.0 15
88 116.33 353.33 15
83 117.5 376.5 15
87 96.5 310.0 16
6 114.0 307.0 16
89 135.0 373.5 16
88 116.33 353.33 16
89 135.0 373.5 17
10 156.0 440.0 17
83 117.5 376.5 17
88 116.33 353.33 17
2 25.0 775.0 18
90 85.5 800.5 18
91 104.33 812.0 18
92 83.5 805.0 18
90 85.5 800.5 19
9 146.0 826.0 19
93 144.0 830.5 19
91 104.33 812.0 19
93 144.0 830.5 20
8 142.0 835.0 20
92 83.5 805.0 20
91 104.33 812.0 20
2 25.0 775.0 21
92 83.5 805.0 21
94 99.33 859.67 21
95 78.0 872.0 21
92 83.5 805.0 22
8 142.0 835.0 22
96 136.5 902.0 22
94 99.33 859.67 22
96 136.5 902.0 23
7 131.0 969.0 23
95 78.0 872.0 23
94 99.33 859.67 23
9 146.0 826.0 24
90 85.5 800.5 24
97 73.0 770.67 24
98 97.0 768.5 24
90 85.5 800.5 25
2 25.0 775.0 25
74 36.5 743.0 25
97 73.0 770.67 25
74 36.5 743.0 26
3 48.0 711.0 26
98 97.0 768.5 26
97 73.0 770.67 26
3 48.0 711.0 27
99 102.0 575.5 27
100 147.33 551.33 27
101 143.0 607.0 27
99 102.0 575.5 28
10 156.0 440.0 28
102 197.0 471.5 28
100 147.33 551.33 28
102 197.0 471.5 29
15 238.0 503.0 29
101 143.0 607.0 29
100 147.33 551.33 29
8 142.0 835.0 30
93 144.0 830.5 30
103 182.0 848.33 30
104 200.0 859.5 30
93 144.0 830.5 31
9 146.0 826.0 31
105 202.0 855.0 31
103 182.0 848.33 31
105 202.0 855.0 32
17 258.0 884.0 32
104 200.0 859.5 32
103 182.0 848.33 32
11 164.0 224.0 33
106 200.5 214.5 33
107 171.67 245.33 33
108 139.0 265.5 33
106 200.5 214.5 34
14 237.0 205.0 34
109 175.5 256.0 34
107 171.67 245.33 34
109 175.5 256.0 35
6 114.0 307.0 35
108 139.0 265.5 35
107 171.67 245.33 35
10 156.0 440.0 36
99 102.0 575.5 36
110 73.33 496.67 36
82 86.0 389.5 36
99 102.0 575.5 37
3 48.0 711.0 37
76 32.0 525.0 37
110 73.33 496.67 37
76 32.0 525.0 38
0 16.0 339.0 38
82 86.0 389.5 38
110 73.33 496.67 38
11 164.0 224.0 39
108 139.0 265.5 39
111 119.0 281.33 39
80 121.5 268.5 39
108 139.0 265.5 40
6 114.0 307.0 40
87 96.5 310.0 40
111 119.0 281.33 40
87 96.5 310.0 41
5 79.0 313.0 41
80 121.5 268.5 41
111 119.0 281.33 41
14 237.0 205.0 42
106 200.5 214.5 42
112 208.67 209.67 42
113 231.0 202.5 42
106 200.5 214.5 43
11 164.0 224.0 43
114 194.5 212.0 43
112 208.67 209.67 43
114 194.5 212.0 44
13 225.0 200.0 44
113 231.0 202.5 44
112 208.67 209.67 44
12 218.0 714.0 45
115 182.0 770.0 45
116 137.33 750.33 45
117 133.0 712.5 45
115 182.0 770.0 46
