V x y t
0 10 19 0
1 29 38 0
3 38 417 0
3 38 417 1
2 33 705 1
0 10 19 1
2 33 705 2
5 63 651 2
11 117 728 2
3 38 417 3
1 29 38 3
8 106 242 3
5 63 651 4
2 33 705 4
3 38 417 4
4 41 854 5
7 92 871 5
6 69 919 5
3 38 417 6
14 132 348 6
15 145 432 6
4 41 854 7
9 107 739 7
7 92 871 7
3 38 417 8
8 106 242 8
14 132 348 8
9 107 739 9
4 41 854 9
2 33 705 9
9 107 739 10
11 117 728 10
10 112 740 10
10 112 740 11
7 92 871 11
9 107 739 11
11 117 728 12
9 107 739 12
2 33 705 12
10 112 740 13
11 117 728 13
17 170 800 13
11 117 728 14
13 129 697 14
17 170 800 14
12 128 865 15
7 92 871 15
10 112 740 15
12 128 865 16
6 69 919 16
7 92 871 16
13 129 697 17
11 117 728 17
5 63 651 17
15 145 432 18
5 63 651 18
3 38 417 18
5 63 651 19
15 145 432 19
19 214 476 19
19 214 476 20
13 129 697 20
5 63 651 20
16 166 38 21
1 29 38 21
0 10 19 21
1 29 38 22
16 166 38 22
18 171 85 22
18 171 85 23
8 106 242 23
1 29 38 23
8 106 242 24
18 171 85 24
29 327 244 24
20 215 341 25
14 132 348 25
8 106 242 25
17 170 800 26
12 128 865 26
10 112 740 26
21 225 408 27
15 145 432 27
14 132 348 27
14 132 348 28
20 215 341 28
21 225 408 28
13 129 697 29
19 214 476 29
25 308 642 29
18 171 85 30
24 301 26 30
29 327 244 30
21 225 408 31
19 214 476 31
15 145 432 31
19 214 476 32
21 225 408 32
28 321 429 32
17 170 800 33
23 275 741 33
26 309 931 33
22 227 974 34
12 128 865 34
17 170 800 34
22 227 974 35
6 69 919 35
12 128 865 35
20 215 341 36
29 327 244 36
30 341 255 36
23 275 741 37
17 170 800 37
13 129 697 37
24 301 26 38
16 166 38 38
0 10 19 38
24 301 26 39
18 171 85 39
16 166 38 39
29 327 244 40
20 215 341 40
8 106 242 40
25 308 642 41
23 275 741 41
13 129 697 41
23 275 741 42
25 308 642 42
32 382 800 42
26 309 931 43
22 227 974 43
17 170 800 43
27 315 543 44
25 308 642 44
19 214 476 44
25 308 642 45
27 315 543 45
31 361 582 45
28 321 429 46
27 315 543 46
19 214 476 46
27 315 543 47
28 321 429 47
33 397 465 47
28 321 429 48
21 225 408 48
20 215 341 48
30 341 255 49
28 321 429 49
20 215 341 49
29 327 244 50
24 301 26 50
37 437 75 50
28 321 429 51
30 341 255 51
34 407 369 51
25 308 642 52
31 361 582 52
39 460 732 52
31 361 582 53
33 397 465 53
36 413 468 53
32 382 800 54
26 309 931 54
23 275 741 54
34 407 369 55
33 397 465 55
28 321 429 55
33 397 465 56
31 361 582 56
27 315 543 56
40 463 212 57
30 341 255 57
29 327 244 57
33 397 465 58
34 407 369 58
36 413 468 58
39 460 732 59
32 382 800 59
25 308 642 59
35 408 914 60
26 309 931 60
32 382 800 60
35 408 914 61
22 227 974 61
26 309 931 61
31 361 582 62
36 413 468 62
47 529 631 62
29 327 244 63
37 437 75 63
40 463 212 63
30 341 255 64
40 463 212 64
38 457 280 64
34 407 369 65
38 457 280 65
41 481 367 65
34 407 369 66
41 481 367 66
42 497 423 66
32 382 800 67
39 460 732 67
43 498 866 67
38 457 280 68
34 407 369 68
30 341 255 68
38 457 280 69
40 463 212 69
44 518 300 69
42 497 423 70
36 413 468 70
34 407 369 70
41 481 367 71
44 518 300 71
48 543 436 71
36 413 468 72
49 546 449 72
51 576 572 72
47 529 631 73
39 460 732 73
31 361 582 73
43 498 866 74
35 408 914 74
32 382 800 74
40 463 212 75
52 576 183 75
44 518 300 75
44 518 300 76
41 481 367 76
38 457 280 76
48 543 436 77
42 497 423 77
41 481 367 77
43 498 866 78
46 527 849 78
45 522 921 78
45 522 921 79
35 408 914 79
43 498 866 79
45 522 921 80
22 227 974 80
35 408 914 80
46 527 849 81
43 498 866 81
39 460 732 81
39 460 732 82
47 529 631 82
50 569 699 82
42 497 423 83
48 543 436 83
49 546 449 83
49 546 449 84
36 413 468 84
42 497 423 84
44 518 300 85
52 576 183 85
55 655 367 85
51 576 572 86
47 529 631 86
36 413 468 86
50 569 699 87
46 527 849 87
39 460 732 87
46 527 849 88
50 569 699 88
59 777 834 88
55 655 367 89
49 546 449 89
48 543 436 89
47 529 631 90
51 576 572 90
54 591 647 90
52 576 183 91
40 463 212 91
37 437 75 91
55 655 367 92
48 543 436 92
44 518 300 92
54 591 647 93
53 580 665 93
47 529 631 93
53 580 665 94
50 569 699 94
47 529 631 94
53 580 665 95
63 804 735 95
50 569 699 95
57 684 406 96
51 576 572 96
49 546 449 96
63 804 735 97
53 580 665 97
54 591 647 97
49 546 449 98
55 655 367 98
57 684 406 98
56 672 598 99
54 591 647 99
51 576 572 99
63 804 735 100
54 591 647 100
56 672 598 100
55 655 367 101
52 576 183 101
61 803 278 101
57 684 406 102
56 672 598 102
51 576 572 102
58 742 102 103
37 437 75 103
24 301 26 103
