V x y t
0 214 359 0
1 221 158 0
2 236 296 0
3 237 243 1
2 236 296 1
1 221 158 1
4 262 189 2
3 237 243 2
1 221 158 2
4 262 189 3
2 236 296 3
3 237 243 3
5 264 228 4
2 236 296 4
4 262 189 4
5 264 228 5
0 214 359 5
2 236 296 5
6 277 269 6
5 264 228 6
4 262 189 6
6 277 269 7
0 214 359 7
5 264 228 7
7 277 318 8
0 214 359 8
6 277 269 8
8 285 350 9
7 277 318 9
6 277 269 9
8 285 350 10
0 214 359 10
7 277 318 10
9 305 228 11
6 277 269 11
4 262 189 11
9 305 228 12
8 285 350 12
6 277 269 12
10 321 270 13
8 285 350 13
9 305 228 13
11 328 179 14
4 262 189 14
1 221 158 14
11 328 179 15
9 305 228 15
4 262 189 15
11 328 179 16
10 321 270 16
9 305 228 16
12 336 324 17
10 321 270 17
11 328 179 17
12 336 324 18
8 285 350 18
10 321 270 18
13 356 242 19
12 336 324 19
11 328 179 19
14 359 206 20
13 356 242 20
11 328 179 20
15 365 294 21
13 356 242 21
14 359 206 21
15 365 294 22
12 336 324 22
13 356 242 22
16 366 351 23
12 336 324 23
15 365 294 23
16 366 351 24
8 285 350 24
12 336 324 24
16 366 351 25
0 214 359 25
8 285 350 25
17 367 154 26
11 328 179 26
1 221 158 26
17 367 154 27
14 359 206 27
11 328 179 27
17 367 154 28
15 365 294 28
14 359 206 28
17 367 154 29
16 366 351 29
15 365 294 29
18 396 242 30
16 366 351 30
17 367 154 30
19 401 178 31
18 396 242 31
17 367 154 31
20 401 279 32
18 396 242 32
19 401 178 32
20 401 279 33
16 366 351 33
18 396 242 33
21 405 330 34
20 401 279 34
19 401 178 34
21 405 330 35
16 366 351 35
20 401 279 35
22 416 200 36
21 405 330 36
19 401 178 36
23 433 231 37
21 405 330 37
22 416 200 37
24 449 279 38
21 405 330 38
23 433 231 38
25 449 162 39
19 401 178 39
17 367 154 39
25 449 162 40
22 416 200 40
19 401 178 40
25 449 162 41
23 433 231 41
22 416 200 41
25 449 162 42
24 449 279 42
23 433 231 42
26 450 317 43
24 449 279 43
25 449 162 43
26 450 317 44
21 405 330 44
24 449 279 44
26 450 317 45
16 366 351 45
21 405 330 45
27 465 235 46
26 450 317 46
25 449 162 46
28 487 273 47
27 465 235 47
25 449 162 47
28 487 273 48
26 450 317 48
27 465 235 48
29 491 209 49
28 487 273 49
25 449 162 49
30 496 139 50
17 367 154 50
1 221 158 50
30 496 139 51
25 449 162 51
17 367 154 51
30 496 139 52
29 491 209 52
25 449 162 52
30 496 139 53
28 487 273 53
29 491 209 53
31 500 357 54
28 487 273 54
30 496 139 54
31 500 357 55
26 450 317 55
28 487 273 55
31 500 357 56
16 366 351 56
26 450 317 56
31 500 357 57
0 214 359 57
16 366 351 57
