V x y t
0 17 614 0
1 29 222 0
6 75 516 0
3 50 761 1
2 48 868 1
0 17 614 1
2 48 868 2
5 73 925 2
4 55 947 2
4 55 947 3
0 17 614 3
2 48 868 3
14 311 631 4
3 50 761 4
0 17 614 4
2 48 868 5
11 250 900 5
5 73 925 5
0 17 614 6
6 75 516 6
14 311 631 6
1 29 222 7
7 98 115 7
8 128 143 7
1 29 222 8
8 128 143 8
12 283 405 8
12 283 405 9
6 75 516 9
1 29 222 9
9 202 68 10
8 128 143 10
7 98 115 10
8 128 143 11
17 342 267 11
12 283 405 11
10 214 47 12
9 202 68 12
7 98 115 12
8 128 143 13
16 331 105 13
17 342 267 13
11 250 900 14
2 48 868 14
3 50 761 14
11 250 900 15
4 55 947 15
5 73 925 15
6 75 516 16
12 283 405 16
15 321 538 16
13 294 841 17
11 250 900 17
3 50 761 17
14 311 631 18
13 294 841 18
3 50 761 18
16 331 105 19
8 128 143 19
9 202 68 19
15 321 538 20
14 311 631 20
6 75 516 20
14 311 631 21
15 321 538 21
22 424 676 21
16 331 105 22
9 202 68 22
10 214 47 22
12 283 405 23
17 342 267 23
20 386 261 23
18 362 232 24
17 342 267 24
16 331 105 24
17 342 267 25
18 362 232 25
20 386 261 25
12 283 405 26
20 386 261 26
28 521 486 26
19 366 753 27
13 294 841 27
14 311 631 27
13 294 841 28
19 366 753 28
23 447 768 28
18 362 232 29
21 408 132 29
24 456 249 29
20 386 261 30
24 456 249 30
28 521 486 30
16 331 105 31
10 214 47 31
56 719 73 31
21 408 132 32
18 362 232 32
16 331 105 32
24 456 249 33
20 386 261 33
18 362 232 33
22 424 676 34
19 366 753 34
14 311 631 34
28 521 486 35
22 424 676 35
15 321 538 35
23 447 768 36
19 366 753 36
22 424 676 36
23 447 768 37
26 520 898 37
13 294 841 37
28 521 486 38
15 321 538 38
12 283 405 38
23 447 768 39
29 548 736 39
25 504 808 39
23 447 768 40
27 520 845 40
26 520 898 40
27 520 845 41
23 447 768 41
25 504 808 41
26 520 898 42
11 250 900 42
13 294 841 42
26 520 898 43
37 616 986 43
11 250 900 43
29 548 736 44
23 447 768 44
22 424 676 44
22 424 676 45
28 521 486 45
33 572 558 45
25 504 808 46
29 548 736 46
34 583 763 46
32 572 825 47
27 520 845 47
25 504 808 47
30 562 687 48
29 548 736 48
22 424 676 48
29 548 736 49
30 562 687 49
34 583 763 49
31 571 848 50
26 520 898 50
27 520 845 50
27 520 845 51
32 572 825 51
31 571 848 51
28 521 486 52
35 591 463 52
33 572 558 52
33 572 558 53
30 562 687 53
22 424 676 53
30 562 687 54
33 572 558 54
40 629 552 54
34 583 763 55
32 572 825 55
25 504 808 55
32 572 825 56
34 583 763 56
44 647 810 56
38 617 438 57
28 521 486 57
24 456 249 57
28 521 486 58
38 617 438 58
35 591 463 58
33 572 558 59
35 591 463 59
40 629 552 59
44 647 810 60
31 571 848 60
32 572 825 60
31 571 848 61
47 660 942 61
36 608 965 61
36 608 965 62
26 520 898 62
31 571 848 62
37 616 986 63
26 520 898 63
36 608 965 63
40 629 552 64
39 629 706 64
30 562 687 64
37 616 986 65
4 55 947 65
11 250 900 65
24 456 249 66
41 639 299 66
38 617 438 66
35 591 463 67
38 617 438 67
46 660 515 67
34 583 763 68
39 629 706 68
42 640 717 68
39 629 706 69
34 583 763 69
30 562 687 69
24 456 249 70
21 408 132 70
50 695 220 70
38 617 438 71
41 639 299 71
43 644 407 71
38 617 438 72
43 644 407 72
46 660 515 72
39 629 706 73
40 629 552 73
53 708 589 73
34 583 763 74
42 640 717 74
45 650 754 74
46 660 515 75
40 629 552 75
35 591 463 75
45 650 754 76
44 647 810 76
34 583 763 76
31 571 848 77
44 647 810 77
47 660 942 77
53 708 589 78
42 640 717 78
39 629 706 78
43 644 407 79
48 666 380 79
57 722 527 79
40 629 552 80
46 660 515 80
53 708 589 80
44 647 810 81
55 713 824 81
51 698 918 81
44 647 810 82
51 698 918 82
47 660 942 82
47 660 942 83
37 616 986 83
36 608 965 83
48 666 380 84
43 644 407 84
41 639 299 84
48 666 380 85
54 710 291 85
60 780 270 85
41 639 299 86
50 695 220 86
49 691 283 86
49 691 283 87
48 666 380 87
41 639 299 87
54 710 291 88
48 666 380 88
49 691 283 88
21 408 132 89
52 708 195 89
50 695 220 89
50 695 220 90
41 639 299 90
24 456 249 90
50 695 220 91
54 710 291 91
49 691 283 91
55 713 824 92
44 647 810 92
45 650 754 92
51 698 918 93
37 616 986 93
47 660 942 93
21 408 132 94
56 719 73 94
52 708 195 94
50 695 220 95
52 708 195 95
60 780 270 95
42 640 717 96
53 708 589 96
62 819 788 96
46 660 515 97
57 722 527 97
53 708 589 97
57 722 527 98
46 660 515 98
43 644 407 98
62 819 788 99
45 650 754 99
42 640 717 99
56 719 73 100
21 408 132 100
16 331 105 100
52 708 195 101
56 719 73 101
58 756 102 101
52 708 195 102
58 756 102 102
59 767 131 102
53 708 589 103
57 722 527 103
67 866 651 103
52 708 195 104
59 767 131 104
63 828 237 104
60 780 270 105
54 710 291 105
50 695 220 105
48 666 380 106
60 780 270 106
64 834 374 106
64 834 374 107
57 722 527 107
48 666 380 107
61 802 260 108
60 780 270 108
52 708 195 108
64 834 374 109
60 780 270 109
61 802 260 109
62 819 788 110
55 713 824 110
45 650 754 110
62 819 788 111
51 698 918 111
55 713 824 111
63 828 237 112
59 767 131 112
73 912 107 112
63 828 237 113
61 802 260 113
52 708 195 113
61 802 260 114
68 887 300 114
64 834 374 114
57 722 527 115
64 834 374 115
65 859 481 115
64 834 374 116
68 887 300 116
77 964 369 116
57 722 527 117
65 859 481 117
70 892 522 117
62 819 788 118
67 866 651 118
69 889 709 118
62 819 788 119
66 863 784 119
76 957 865 119
76 957 865 120
51 698 918 120
62 819 788 120
67 866 651 121
62 819 788 121
53 708 589 121
73 912 107 122
68 887 300 122
63 828 237 122
68 887 300 123
61 802 260 123
63 828 237 123
77 964 369 124
65 859 481 124
64 834 374 124
70 892 522 125
67 866 651 125
57 722 527 125
69 889 709 126
66 863 784 126
62 819 788 126
67 866 651 127
70 892 522 127
72 911 576 127
67 866 651 128
72 911 576 128
75 945 617 128
69 889 709 129
75 945 617 129
74 918 725 129
71 900 755 130
66 863 784 130
69 889 709 130
76 957 865 131
66 863 784 131
71 900 755 131
77 964 369 132
70 892 522 132
65 859 481 132
73 912 107 133
58 756 102 133
56 719 73 133
73 912 107 134
59 767 131 134
58 756 102 134
68 887 300 135
73 912 107 135
77 964 369 135
75 945 617 136
69 889 709 136
67 866 651 136
74 918 725 137
71 900 755 137
69 889 709 137
79 993 633 138
