V x y t
0 265 344 0
1 267 248 0
2 277 294 0
3 297 204 1
2 277 294 1
1 267 248 1
4 315 160 2
3 297 204 2
1 267 248 2
4 315 160 3
2 277 294 3
3 297 204 3
4 315 160 4
0 265 344 4
2 277 294 4
5 320 359 5
0 265 344 5
4 315 160 5
6 324 297 6
5 320 359 6
4 315 160 6
7 326 237 7
6 324 297 7
4 315 160 7
8 342 263 8
7 326 237 8
4 315 160 8
8 342 263 9
6 324 297 9
7 326 237 9
8 342 263 10
5 320 359 10
6 324 297 10
9 360 111 11
8 342 263 11
4 315 160 11
10 361 335 12
8 342 263 12
9 360 111 12
10 361 335 13
5 320 359 13
8 342 263 13
11 373 209 14
10 361 335 14
9 360 111 14
12 378 265 15
10 361 335 15
11 373 209 15
13 380 169 16
11 373 209 16
9 360 111 16
13 380 169 17
12 378 265 17
11 373 209 17
14 396 231 18
12 378 265 18
13 380 169 18
14 396 231 19
10 361 335 19
12 378 265 19
15 400 306 20
10 361 335 20
14 396 231 20
16 411 387 21
15 400 306 21
14 396 231 21
16 411 387 22
10 361 335 22
15 400 306 22
16 411 387 23
5 320 359 23
10 361 335 23
16 411 387 24
0 265 344 24
5 320 359 24
17 416 270 25
13 380 169 25
9 360 111 25
17 416 270 26
14 396 231 26
13 380 169 26
17 416 270 27
16 411 387 27
14 396 231 27
18 421 137 28
17 416 270 28
9 360 111 28
19 443 185 29
17 416 270 29
18 421 137 29
19 443 185 30
16 411 387 30
17 416 270 30
20 443 241 31
16 411 387 31
19 443 185 31
21 454 315 32
20 443 241 32
19 443 185 32
21 454 315 33
16 411 387 33
20 443 241 33
22 488 234 34
19 443 185 34
18 421 137 34
22 488 234 35
21 454 315 35
19 443 185 35
23 489 285 36
21 454 315 36
22 488 234 36
23 489 285 37
16 411 387 37
21 454 315 37
24 497 355 38
23 489 285 38
22 488 234 38
24 497 355 39
16 411 387 39
23 489 285 39
25 510 166 40
18 421 137 40
9 360 111 40
25 510 166 41
22 488 234 41
18 421 137 41
25 510 166 42
24 497 355 42
22 488 234 42
26 534 262 43
24 497 355 43
25 510 166 43
