V x y t
0 136 9796 0
1 180 1814 0
4 963 6525 0
2 507 9025 1
4 963 6525 1
10 1994 8195 1
3 905 9844 2
0 136 9796 2
2 507 9025 2
4 963 6525 3
2 507 9025 3
0 136 9796 3
5 1160 9226 4
3 905 9844 4
2 507 9025 4
1 180 1814 5
6 1275 804 5
8 1799 1278 5
1 180 1814 6
8 1799 1278 6
11 2255 2583 6
10 1994 8195 7
5 1160 9226 7
2 507 9025 7
7 1574 9998 8
3 905 9844 8
5 1160 9226 8
7 1574 9998 9
0 136 9796 9
3 905 9844 9
1 180 1814 10
11 2255 2583 10
14 2864 4296 10
4 963 6525 11
9 1918 6999 11
10 1994 8195 11
13 2609 5521 12
9 1918 6999 12
4 963 6525 12
5 1160 9226 13
10 1994 8195 13
18 2975 8751 13
14 2864 4296 14
4 963 6525 14
1 180 1814 14
12 2597 7072 15
10 1994 8195 15
9 1918 6999 15
10 1994 8195 16
12 2597 7072 16
17 2949 7282 16
13 2609 5521 17
12 2597 7072 17
9 1918 6999 17
11 2255 2583 18
15 2889 3204 18
14 2864 4296 18
14 2864 4296 19
13 2609 5521 19
4 963 6525 19
13 2609 5521 20
14 2864 4296 20
19 3071 4244 20
11 2255 2583 21
16 2904 2969 21
15 2889 3204 21
11 2255 2583 22
22 4116 2556 22
16 2904 2969 22
15 2889 3204 23
16 2904 2969 23
22 4116 2556 23
19 3071 4244 24
14 2864 4296 24
15 2889 3204 24
12 2597 7072 25
13 2609 5521 25
21 3773 6989 25
10 1994 8195 26
17 2949 7282 26
18 2975 8751 26
21 3773 6989 27
17 2949 7282 27
12 2597 7072 27
18 2975 8751 28
7 1574 9998 28
5 1160 9226 28
13 2609 5521 29
19 3071 4244 29
24 4469 6200 29
18 2975 8751 30
23 4463 8645 30
20 3152 9130 30
20 3152 9130 31
7 1574 9998 31
18 2975 8751 31
19 3071 4244 32
22 4116 2556 32
28 4689 2576 32
17 2949 7282 33
21 3773 6989 33
23 4463 8645 33
25 4472 1417 34
11 2255 2583 34
8 1799 1278 34
11 2255 2583 35
25 4472 1417 35
22 4116 2556 35
22 4116 2556 36
19 3071 4244 36
15 2889 3204 36
21 3773 6989 37
24 4469 6200 37
23 4463 8645 37
23 4463 8645 38
18 2975 8751 38
17 2949 7282 38
20 3152 9130 39
23 4463 8645 39
26 4610 9394 39
24 4469 6200 40
21 3773 6989 40
13 2609 5521 40
25 4472 1417 41
8 1799 1278 41
6 1275 804 41
22 4116 2556 42
25 4472 1417 42
27 4671 1713 42
19 3071 4244 43
28 4689 2576 43
32 6201 4201 43
23 4463 8645 44
24 4469 6200 44
30 5586 6030 44
26 4610 9394 45
7 1574 9998 45
20 3152 9130 45
27 4671 1713 46
28 4689 2576 46
22 4116 2556 46
32 6201 4201 47
24 4469 6200 47
19 3071 4244 47
23 4463 8645 48
30 5586 6030 48
36 6583 6294 48
29 5355 9583 49
26 4610 9394 49
23 4463 8645 49
29 5355 9583 50
7 1574 9998 50
26 4610 9394 50
28 4689 2576 51
31 5962 2378 51
33 6260 3849 51
31 5962 2378 52
27 4671 1713 52
25 4472 1417 52
31 5962 2378 53
28 4689 2576 53
27 4671 1713 53
32 6201 4201 54
30 5586 6030 54
24 4469 6200 54
30 5586 6030 55
32 6201 4201 55
35 6371 5008 55
33 6260 3849 56
32 6201 4201 56
28 4689 2576 56
32 6201 4201 57
33 6260 3849 57
39 7664 4993 57
30 5586 6030 58
34 6303 5318 58
36 6583 6294 58
35 6371 5008 59
34 6303 5318 59
30 5586 6030 59
39 7664 4993 60
34 6303 5318 60
35 6371 5008 60
34 6303 5318 61
39 7664 4993 61
36 6583 6294 61
23 4463 8645 62
36 6583 6294 62
37 7357 6870 62
40 7873 2588 63
33 6260 3849 63
31 5962 2378 63
39 7664 4993 64
37 7357 6870 64
36 6583 6294 64
37 7357 6870 65
29 5355 9583 65
23 4463 8645 65
38 7470 1845 66
25 4472 1417 66
44 8624 774 66
38 7470 1845 67
31 5962 2378 67
25 4472 1417 67
31 5962 2378 68
38 7470 1845 68
40 7873 2588 68
39 7664 4993 69
35 6371 5008 69
32 6201 4201 69
33 6260 3849 70
40 7873 2588 70
41 8140 3613 70
41 8140 3613 71
39 7664 4993 71
33 6260 3849 71
39 7664 4993 72
41 8140 3613 72
49 9871 3735 72
44 8624 774 73
42 8239 1554 73
38 7470 1845 73
42 8239 1554 74
40 7873 2588 74
38 7470 1845 74
40 7873 2588 75
42 8239 1554 75
47 9689 2843 75
47 9689 2843 76
41 8140 3613 76
40 7873 2588 76
37 7357 6870 77
45 8894 6418 77
43 8471 8441 77
43 8471 8441 78
29 5355 9583 78
37 7357 6870 78
25 4472 1417 79
46 8938 499 79
44 8624 774 79
42 8239 1554 80
44 8624 774 80
47 9689 2843 80
45 8894 6418 81
37 7357 6870 81
39 7664 4993 81
46 8938 499 82
25 4472 1417 82
6 1275 804 82
44 8624 774 83
46 8938 499 83
47 9689 2843 83
41 8140 3613 84
47 9689 2843 84
49 9871 3735 84
49 9871 3735 85
45 8894 6418 85
39 7664 4993 85
48 9827 71 86
46 8938 499 86
6 1275 804 86
48 9827 71 87
47 9689 2843 87
46 8938 499 87
49 9871 3735 88
47 9689 2843 88
48 9827 71 88
49 9871 3735 89
43 8471 8441 89
45 8894 6418 89
