V x y t
0 265 344 0
1 267 248 0
2 277 294 0
1 267 248 1
3 297 204 1
7 326 237 1
4 315 160 2
3 297 204 2
1 267 248 2
3 297 204 3
4 315 160 3
11 373 209 3
7 326 237 4
2 277 294 4
1 267 248 4
0 265 344 5
6 324 297 5
5 320 359 5
6 324 297 6
0 265 344 6
2 277 294 6
7 326 237 7
6 324 297 7
2 277 294 7
4 315 160 8
13 380 169 8
11 373 209 8
8 342 263 9
6 324 297 9
7 326 237 9
6 324 297 10
8 342 263 10
12 378 265 10
4 315 160 11
9 360 111 11
13 380 169 11
8 342 263 12
11 373 209 12
12 378 265 12
10 361 335 13
5 320 359 13
6 324 297 13
11 373 209 14
8 342 263 14
7 326 237 14
12 378 265 15
10 361 335 15
6 324 297 15
11 373 209 16
7 326 237 16
3 297 204 16
11 373 209 17
13 380 169 17
19 443 185 17
14 396 231 18
12 378 265 18
11 373 209 18
12 378 265 19
14 396 231 19
17 416 270 19
15 400 306 20
10 361 335 20
12 378 265 20
15 400 306 21
17 416 270 21
21 454 315 21
16 411 387 22
10 361 335 22
15 400 306 22
16 411 387 23
5 320 359 23
10 361 335 23
16 411 387 24
0 265 344 24
5 320 359 24
13 380 169 25
18 421 137 25
19 443 185 25
14 396 231 26
19 443 185 26
20 443 241 26
17 416 270 27
15 400 306 27
12 378 265 27
18 421 137 28
13 380 169 28
9 360 111 28
19 443 185 29
14 396 231 29
11 373 209 29
20 443 241 30
17 416 270 30
14 396 231 30
17 416 270 31
20 443 241 31
23 489 285 31
20 443 241 32
22 488 234 32
23 489 285 32
21 454 315 33
16 411 387 33
15 400 306 33
19 443 185 34
25 510 166 34
22 488 234 34
22 488 234 35
20 443 241 35
19 443 185 35
23 489 285 36
21 454 315 36
17 416 270 36
21 454 315 37
23 489 285 37
24 497 355 37
26 534 262 38
23 489 285 38
22 488 234 38
24 497 355 39
16 411 387 39
21 454 315 39
25 510 166 40
18 421 137 40
9 360 111 40
25 510 166 41
19 443 185 41
18 421 137 41
22 488 234 42
25 510 166 42
26 534 262 42
26 534 262 43
24 497 355 43
23 489 285 43
