V x y t
0 43 982 0
2 126 403 0
4 176 708 0
1 98 919 1
4 176 708 1
7 200 782 1
3 159 970 2
0 43 982 2
1 98 919 2
4 176 708 3
1 98 919 3
0 43 982 3
2 126 403 4
5 194 131 4
8 200 249 4
6 194 603 5
4 176 708 5
2 126 403 5
4 176 708 6
6 194 603 6
10 255 689 6
14 322 476 7
2 126 403 7
8 200 249 7
1 98 919 8
7 200 782 8
11 276 881 8
8 200 249 9
12 294 237 9
14 322 476 9
8 200 249 10
5 194 131 10
12 294 237 10
10 255 689 11
7 200 782 11
4 176 708 11
7 200 782 12
10 255 689 12
13 295 851 12
14 322 476 13
10 255 689 13
6 194 603 13
11 276 881 14
3 159 970 14
1 98 919 14
14 322 476 15
6 194 603 15
2 126 403 15
13 295 851 16
11 276 881 16
7 200 782 16
10 255 689 17
14 322 476 17
21 442 555 17
16 402 706 18
13 295 851 18
10 255 689 18
13 295 851 19
16 402 706 19
17 410 862 19
15 399 922 20
11 276 881 20
13 295 851 20
15 399 922 21
3 159 970 21
11 276 881 21
14 322 476 22
18 434 276 22
24 501 416 22
17 410 862 23
15 399 922 23
13 295 851 23
12 294 237 24
23 477 205 24
18 434 276 24
18 434 276 25
14 322 476 25
12 294 237 25
21 442 555 26
16 402 706 26
10 255 689 26
19 436 836 27
17 410 862 27
16 402 706 27
17 410 862 28
19 436 836 28
22 476 851 28
22 476 851 29
19 436 836 29
16 402 706 29
20 438 924 30
15 399 922 30
17 410 862 30
20 438 924 31
15 399 922 31
31 541 992 31
16 402 706 32
21 442 555 32
34 552 765 32
24 501 416 33
21 442 555 33
14 322 476 33
22 476 851 34
20 438 924 34
17 410 862 34
12 294 237 35
25 504 28 35
23 477 205 35
18 434 276 36
23 477 205 36
32 544 284 36
21 442 555 37
24 501 416 37
27 518 438 37
25 504 28 38
12 294 237 38
5 194 131 38
23 477 205 39
25 504 28 39
26 512 168 39
23 477 205 40
26 512 168 40
32 544 284 40
24 501 416 41
28 526 344 41
35 553 365 41
21 442 555 42
27 518 438 42
37 584 574 42
26 512 168 43
30 532 95 43
40 673 20 43
28 526 344 44
24 501 416 44
18 434 276 44
35 553 365 45
27 518 438 45
24 501 416 45
21 442 555 46
36 572 707 46
34 552 765 46
29 526 965 47
20 438 924 47
22 476 851 47
31 541 992 48
20 438 924 48
29 526 965 48
31 541 992 49
3 159 970 49
15 399 922 49
30 532 95 50
26 512 168 50
25 504 28 50
32 544 284 51
28 526 344 51
18 434 276 51
38 587 972 52
29 526 965 52
22 476 851 52
31 541 992 53
0 43 982 53
3 159 970 53
28 526 344 54
32 544 284 54
33 545 342 54
28 526 344 55
33 545 342 55
35 553 365 55
22 476 851 56
34 552 765 56
38 587 972 56
26 512 168 57
40 673 20 57
41 674 229 57
33 545 342 58
32 544 284 58
41 674 229 58
27 518 438 59
35 553 365 59
39 605 421 59
34 552 765 60
22 476 851 60
16 402 706 60
34 552 765 61
36 572 707 61
50 813 767 61
39 605 421 62
37 584 574 62
27 518 438 62
37 584 574 63
36 572 707 63
21 442 555 63
43 713 957 64
38 587 972 64
34 552 765 64
38 587 972 65
31 541 992 65
29 526 965 65
35 553 365 66
33 545 342 66
44 718 357 66
39 605 421 67
46 726 508 67
37 584 574 67
40 673 20 68
30 532 95 68
25 504 28 68
41 674 229 69
32 544 284 69
26 512 168 69
33 545 342 70
41 674 229 70
44 718 357 70
39 605 421 71
44 718 357 71
42 679 418 71
41 674 229 72
40 673 20 72
47 789 143 72
46 726 508 73
39 605 421 73
42 679 418 73
42 679 418 74
44 718 357 74
46 726 508 74
36 572 707 75
46 726 508 75
50 813 767 75
43 713 957 76
31 541 992 76
38 587 972 76
44 718 357 77
39 605 421 77
35 553 365 77
41 674 229 78
45 721 229 78
44 718 357 78
45 721 229 79
48 802 339 79
44 718 357 79
46 726 508 80
36 572 707 80
37 584 574 80
47 789 143 81
45 721 229 81
41 674 229 81
45 721 229 82
49 808 151 82
53 852 180 82
48 802 339 83
46 726 508 83
44 718 357 83
46 726 508 84
48 802 339 84
54 892 620 84
49 808 151 85
47 789 143 85
55 905 11 85
49 808 151 86
45 721 229 86
47 789 143 86
54 892 620 87
50 813 767 87
46 726 508 87
50 813 767 88
43 713 957 88
34 552 765 88
53 852 180 89
48 802 339 89
45 721 229 89
51 830 837 90
43 713 957 90
50 813 767 90
55 905 11 91
52 849 160 91
49 808 151 91
49 808 151 92
52 849 160 92
53 852 180 92
48 802 339 93
53 852 180 93
58 942 259 93
50 813 767 94
54 892 620 94
56 921 663 94
55 905 11 95
47 789 143 95
40 673 20 95
52 849 160 96
55 905 11 96
58 942 259 96
58 942 259 97
53 852 180 97
52 849 160 97
59 971 274 98
54 892 620 98
48 802 339 98
50 813 767 99
56 921 663 99
57 927 867 99
59 971 274 100
56 921 663 100
54 892 620 100
57 927 867 101
51 830 837 101
50 813 767 101
57 927 867 102
43 713 957 102
51 830 837 102
48 802 339 103
58 942 259 103
59 971 274 103
59 971 274 104
58 942 259 104
55 905 11 104
59 971 274 105
57 927 867 105
56 921 663 105
