t V0 V1 V2 t0 t1 t2
0 0 1 2 6 4 -1
1 1 3 7 2 4 16
2 4 3 1 3 1 -1
3 3 4 11 2 16 8
4 7 2 1 1 7 0
5 0 6 5 6 24 13
6 6 0 2 5 7 0
7 7 6 2 4 9 6
8 4 13 11 3 11 17
9 8 6 7 10 14 7
10 6 8 12 9 15 12
11 4 9 13 8 28 -1
12 8 11 12 10 14 18
13 10 5 6 15 23 5
14 11 8 7 12 16 9
15 12 10 6 10 20 13
16 11 7 3 3 14 1
17 11 13 19 8 29 25
18 14 12 11 19 29 12
19 12 14 17 18 27 30
20 15 10 12 22 27 15
21 15 17 21 27 33 36
22 16 10 15 23 33 20
23 16 5 10 22 24 13
24 16 0 5 23 5 -1
25 13 18 19 17 28 41
26 14 19 20 29 30 35
27 17 15 12 19 21 20
28 18 13 9 25 40 11
29 19 14 11 17 26 18
30 20 17 14 26 31 19
31 17 20 23 30 36 32
32 20 22 23 31 35 38
33 21 16 15 21 39 22
34 19 25 22 35 41 42
35 22 20 19 32 34 26
36 23 21 17 31 37 21
37 21 23 24 36 39 43
38 26 23 22 42 43 32
39 24 16 21 37 33 -1
40 25 18 9 41 28 -1
41 25 19 18 34 40 25
42 22 25 26 34 38 -1
43 26 24 23 38 37 -1
