t V0 V1 V2 t0 t1 t2
0 0 1 2 4 1 -1
1 3 2 1 2 3 0
2 4 3 1 3 1 -1
3 4 2 3 2 4 1
4 4 0 2 3 5 0
5 5 0 4 6 24 4
6 6 5 4 7 10 5
7 7 6 4 8 9 6
8 8 7 4 9 11 7
9 8 6 7 8 10 7
10 8 5 6 9 13 6
11 9 8 4 12 8 -1
12 10 8 9 13 14 11
13 10 5 8 12 23 10
14 11 10 9 15 16 12
15 12 10 11 17 19 14
16 13 11 9 17 25 14
17 13 12 11 16 18 15
18 14 12 13 19 26 17
19 14 10 12 18 20 15
20 15 10 14 21 22 19
21 16 15 14 22 27 20
22 16 10 15 21 23 20
23 16 5 10 22 24 13
24 16 0 5 23 5 -1
25 17 13 9 26 28 16
26 17 14 13 25 27 18
27 17 16 14 26 30 21
28 18 17 9 29 40 25
29 19 17 18 30 34 28
30 19 16 17 29 31 27
31 20 16 19 32 33 30
32 21 20 19 33 35 31
33 21 16 20 32 37 31
34 22 19 18 35 41 29
35 22 21 19 34 36 32
36 23 21 22 37 38 35
37 23 16 21 36 39 33
38 24 23 22 39 42 36
39 24 16 23 38 37 -1
40 25 18 9 41 28 -1
41 25 22 18 40 42 34
42 25 24 22 41 43 38
43 26 24 25 42 -1 -1
