t V0 V1 V2 t0 t1 t2
0 0 2 1 2 1 -1
1 3 1 2 3 0 -1
2 4 2 0 3 5 0
3 4 3 2 2 4 1
4 5 3 4 6 10 3
5 6 4 0 6 7 2
6 6 5 4 5 9 4
7 7 6 0 8 5 -1
8 8 6 7 9 11 7
9 8 5 6 8 10 6
10 8 3 5 9 4 -1
11 9 8 7 12 16 8
12 10 9 7 13 14 11
13 11 10 7 14 25 12
14 11 9 10 13 15 12
15 12 9 11 16 17 14
16 12 8 9 15 19 11
17 13 12 11 18 23 15
18 14 12 13 19 21 17
19 14 8 12 18 20 16
20 15 8 14 22 31 19
21 16 14 13 22 24 18
22 16 15 14 21 29 20
23 17 13 11 24 26 17
24 17 16 13 23 27 21
25 18 11 7 26 13 -1
26 18 17 11 25 27 23
27 18 16 17 26 28 24
28 19 16 18 29 37 27
29 19 15 16 28 30 22
30 20 15 19 31 32 29
31 20 8 15 30 20 -1
32 21 20 19 33 34 30
33 22 21 19 34 35 32
34 22 20 21 33 36 32
35 23 22 19 36 38 33
36 23 20 22 35 39 34
37 24 19 18 38 28 -1
38 24 23 19 37 39 35
39 24 20 23 38 40 36
40 25 20 24 41 42 39
41 26 25 24 42 43 40
42 26 20 25 41 45 40
43 27 26 24 44 49 41
44 28 26 27 45 46 43
45 28 20 26 44 48 42
46 29 28 27 47 50 44
47 30 28 29 48 51 46
48 30 20 28 47 45 -1
49 31 27 24 50 55 43
50 31 29 27 49 51 46
51 31 30 29 50 52 47
52 32 30 31 53 54 51
53 33 32 31 54 56 52
54 33 30 32 53 57 52
55 34 31 24 56 49 -1
56 34 33 31 55 57 53
57 34 30 33 56 58 54
58 35 30 34 59 61 57
59 36 35 34 60 64 58
60 37 35 36 61 62 59
61 37 30 35 60 63 58
62 38 37 36 63 65 60
63 38 30 37 62 61 -1
64 39 36 34 65 59 -1
65 39 38 36 64 62 -1
