t V0 V1 V2 t0 t1 t2
0 0 1 3 1 2 -1
1 3 2 0 0 5 8
2 4 3 1 3 14 0
3 3 4 5 2 4 11
4 3 5 6 3 5 6
5 6 2 3 4 7 1
6 5 9 6 4 11 12
7 2 6 7 5 8 9
8 7 0 2 7 10 1
9 10 7 6 12 13 7
10 8 0 7 18 25 8
11 9 5 4 6 15 3
12 6 9 10 6 9 19
13 7 10 12 9 18 22
14 11 4 1 15 26 2
15 11 9 4 14 16 11
16 9 11 14 15 20 27
17 10 13 15 19 22 30
18 12 8 7 13 24 10
19 13 10 9 17 20 12
20 14 13 9 16 21 19
21 13 14 18 20 29 32
22 15 12 10 17 23 13
23 16 12 15 24 35 22
24 16 8 12 23 25 18
25 16 0 8 24 57 10
26 17 11 1 27 50 14
27 17 14 11 26 28 16
28 14 17 19 27 31 39
29 13 18 20 21 30 34
30 20 15 13 29 33 17
31 14 19 22 28 32 40
32 22 18 14 31 36 21
33 15 20 21 30 35 44
34 23 20 18 36 37 29
35 21 16 15 33 56 23
36 18 22 23 32 34 42
37 20 23 24 34 38 46
38 20 24 26 37 44 48
39 25 19 17 40 51 28
40 25 22 19 39 41 31
41 22 25 27 40 42 49
42 27 23 22 41 46 36
43 24 27 28 46 48 47
44 26 21 20 38 45 33
45 21 26 31 44 56 55
46 27 24 23 42 43 37
47 27 29 28 43 49 54
48 28 26 24 43 55 38
49 29 27 25 47 52 41
50 30 17 1 51 26 -1
51 30 25 17 50 52 39
52 30 29 25 51 53 49
53 29 30 31 52 54 -1
54 31 28 29 53 55 47
55 31 26 28 45 54 48
56 31 16 21 45 57 35
57 31 0 16 56 25 -1
