t V0 V1 V2 t0 t1 t2
0 0 1 6 6 9 -1
1 3 2 0 4 14 3
2 2 5 4 3 5 15
3 4 0 2 2 1 -1
4 14 3 0 6 18 1
5 2 11 5 2 14 15
6 0 6 14 0 4 20
7 1 7 8 8 10 -1
8 1 8 12 7 9 11
9 12 6 1 8 16 0
10 9 8 7 12 19 7
11 8 17 12 8 13 23
12 10 9 7 22 10 -1
13 8 16 17 11 19 24
14 11 2 3 5 17 1
15 11 4 5 5 65 2
16 6 12 15 9 20 38
17 13 11 3 18 42 14
18 14 13 3 4 27 17
19 16 8 9 13 22 10
20 15 14 6 16 21 6
21 14 15 22 20 34 35
22 16 9 10 19 31 12
23 12 17 20 11 26 25
24 18 17 16 25 32 13
25 17 18 20 23 24 33
26 12 20 28 23 38 30
27 19 13 14 28 34 18
28 13 19 23 27 37 36
29 18 21 24 32 33 70
30 20 24 28 26 33 57
31 16 10 56 22 100 -1
32 21 18 16 29 100 24
33 24 20 18 29 30 25
34 22 19 14 21 36 27
35 28 22 15 38 45 21
36 23 19 22 28 44 34
37 23 26 13 28 40 42
38 28 15 12 26 35 16
39 23 29 25 41 44 46
40 23 27 26 37 41 50
41 27 23 25 40 47 39
42 26 11 13 37 43 17
43 26 37 11 42 63 65
44 29 23 22 39 48 36
45 22 28 33 35 53 52
46 25 29 34 39 55 49
47 32 27 25 51 55 41
48 30 29 22 49 53 44
49 29 30 34 46 48 69
50 31 26 27 51 62 40
51 27 32 31 47 50 60
52 28 35 33 45 58 59
53 33 30 22 45 54 48
54 30 33 40 53 64 59
55 34 32 25 46 56 47
56 32 34 44 55 60 76
57 38 28 24 58 66 30
58 28 38 35 52 57 67
59 33 35 40 52 54 75
60 44 31 32 56 77 51
61 31 47 36 62 77 83
62 36 26 31 61 63 50
63 37 26 36 43 83 62
64 40 39 30 54 73 69
65 37 4 11 43 15 -1
66 24 41 38 57 90 71
67 35 38 46 58 75 72
68 34 39 42 69 74 78
69 39 34 30 64 68 49
70 24 21 50 29 90 89
71 38 41 43 66 72 84
72 38 43 46 67 71 98
73 39 40 53 64 78 80
74 34 42 45 68 76 99
75 46 40 35 67 80 59
76 45 44 34 74 92 56
77 31 44 47 60 61 82
78 53 42 39 73 96 68
79 43 48 57 84 98 107
80 40 46 53 73 75 97
81 44 55 51 82 92 111
82 44 51 47 77 81 93
83 47 37 36 61 93 63
84 48 43 41 79 87 71
85 48 54 60 88 106 105
86 41 50 49 87 90 91
87 49 48 41 86 88 84
88 54 48 49 85 91 87
89 21 52 50 70 94 95
90 50 41 24 70 86 66
91 50 54 49 86 105 88
92 55 44 45 81 110 76
93 51 37 47 82 145 83
94 21 56 52 89 100 101
95 50 52 60 89 105 108
96 42 53 62 78 99 121
97 46 57 53 80 98 103
98 57 46 43 79 97 72
99 62 45 42 96 110 74
100 56 21 16 31 94 32
101 52 56 58 94 102 133
102 52 58 59 101 104 134
103 53 57 67 97 121 125
104 52 59 63 102 113 112
105 60 54 50 85 95 91
106 48 60 64 85 107 109
107 64 57 48 106 115 79
108 61 60 52 109 113 95
109 64 60 61 106 114 108
110 62 55 45 99 111 92
111 62 51 55 110 120 81
112 63 59 73 104 122 134
113 63 61 52 104 123 108
114 61 68 64 109 123 116
115 57 64 65 107 117 124
116 64 68 77 114 124 135
117 57 65 70 115 125 132
118 62 67 69 121 126 136
119 62 66 76 120 126 131
120 76 51 62 119 141 111
121 67 62 53 103 118 96
122 73 68 63 112 135 123
123 68 61 63 114 122 113
124 77 65 64 116 132 115
125 70 67 57 117 127 103
126 69 66 62 118 130 119
127 67 70 72 125 128 138
128 67 72 75 127 136 143
129 69 75 74 136 137 139
130 71 66 69 131 137 126
131 76 66 71 119 140 130
132 77 70 65 124 142 117
133 73 58 56 134 101 -1
134 73 59 58 112 133 102
135 68 73 77 116 122 -1
136 75 69 67 128 129 118
137 74 71 69 129 140 130
138 79 72 70 142 143 127
139 74 75 79 129 146 143
140 76 71 74 131 144 137
141 51 76 78 120 145 144
142 70 77 79 132 138 -1
143 79 75 72 138 139 128
144 78 76 74 141 146 140
145 78 37 51 141 93 -1
146 74 79 78 139 144 -1
